,clube,xG_mean,xG_total
0,Palmeiras,1.7290445566978005,48.41324758753839
1,Flamengo,1.6772462458285597,46.96289488319967
2,Atlético-MG,1.5333749765765279,44.46787432071931
3,Internacional,1.457918714311683,42.2796427150388
4,América-MG,1.4572227968563307,42.25946110883359
5,Atlético-GO,1.3836591193580716,40.12611446138409
6,São Paulo,1.4033658188302582,39.294242927247254
7,Bragantino,1.3465379397512334,39.04960025278576
8,Fortaleza,1.3315007262292247,38.61352106064751
9,Fluminense,1.3224262009449153,38.35035982740255
10,Santos,1.2597540722947174,36.532868096546785
11,Coritiba,1.276060175458736,35.729684912844604
12,Botafogo,1.1713656123228848,33.96960275736364
13,Ceará,1.1710815935927033,33.9613662141884
14,Corinthians,1.1572441559668893,33.56008052303981
15,Athletico-PR,1.1016338064753468,31.947380387785053
16,Juventude,1.0850965794756524,31.46780080479391
17,Avaí,1.078179510176861,31.267205795128945
18,Cuiabá,1.0386155730667173,30.119851618934813
19,Goiás,0.9857548930477572,28.586891898384934
