,clube,P,GP,GC,SG,Fase,ranking
0,Palmeiras,49,35,11,24,9,1
1,Corinthians,40,26,17,9,9,2
2,Fluminense,35,25,20,5,9,3
3,Internacional,33,26,19,7,4,4
4,Atlético-MG,33,25,19,6,4,5
5,Athletico-PR,32,23,22,1,6,6
6,Flamengo,31,24,17,7,9,7
7,Bragantino,31,30,24,6,6,8
8,Santos,30,21,14,7,7,9
9,São Paulo,27,26,23,3,5,10
10,Ceará,27,22,22,0,6,11
11,Goiás,26,21,24,-3,4,12
12,Botafogo,25,18,24,-6,6,13
13,Avaí,25,19,28,-9,3,14
14,Coritiba,23,20,29,-9,6,15
15,América-MG,22,12,22,-10,6,16
16,Cuiabá,21,12,19,-7,4,17
17,Atlético-GO,21,17,26,-9,3,18
18,Fortaleza,20,14,20,-6,4,19
19,Juventude,20,15,30,-15,6,20
