,clube,P
0,Palmeiras,77.33821706078119
1,Corinthians,60.848717323792755
2,Fluminense,60.822784532496875
3,Internacional,57.39894717729566
4,Athletico-PR,54.7055361042695
5,São Paulo,52.49506292267109
6,Atlético-MG,51.93653463182622
7,Flamengo,50.92408418961496
8,Bragantino,50.536136732463895
9,Santos,49.172380019311085
10,Botafogo,49.089642013055496
11,Ceará,45.44935345620517
12,Goiás,44.7736836770311
13,Coritiba,41.42845310925919
14,Avaí,40.723928990426806
15,América-MG,39.67339769058892
16,Fortaleza,39.45102976596237
17,Cuiabá,38.130769613298455
18,Atlético-GO,34.541980314357446
19,Juventude,33.822625045115544
