,clube,Goal_casa,GoalA_casa,Goal_fora,GoalA_fora
0,Flamengo,1.3333333333333333,0.6666666666666666,1.0,1.3333333333333333
1,Botafogo,1.6666666666666667,1.6666666666666667,1.25,0.75
2,Corinthians,1.3333333333333333,0.3333333333333333,1.5,1.5
3,Fluminense,0.6666666666666666,0.6666666666666666,1.0,1.0
4,Palmeiras,2.0,0.75,2.0,0.5
5,São Paulo,2.6666666666666665,0.6666666666666666,1.0,1.5
6,Santos,2.0,0.5,0.3333333333333333,1.0
7,Bragantino,1.5,0.75,0.6666666666666666,1.0
8,Atlético-MG,1.5,1.0,1.3333333333333333,1.0
9,Internacional,1.3333333333333333,1.0,0.75,1.0
10,Juventude,0.5,1.5,1.3333333333333333,2.0
11,Goiás,1.3333333333333333,1.0,0.75,1.75
12,Athletico-PR,1.0,0.5,0.3333333333333333,2.3333333333333335
13,Coritiba,2.3333333333333335,0.6666666666666666,1.0,1.75
14,Avaí,1.75,1.25,0.3333333333333333,1.6666666666666667
15,América-MG,2.0,0.6666666666666666,0.5,1.5
16,Ceará,1.0,2.0,0.6666666666666666,1.0
17,Fortaleza,0.3333333333333333,1.0,0.6666666666666666,1.6666666666666667
18,Atlético-GO,1.0,0.5,0.3333333333333333,2.0
19,Cuiabá,0.6666666666666666,0.6666666666666666,1.0,1.5
