,clube,xP,ranking_xp
0,Atlético-MG,30.45,1
1,Palmeiras,30.229999999999997,2
2,Flamengo,26.92,3
3,Fortaleza,26.540000000000003,4
4,Fluminense,25.87,5
5,Bragantino,25.05,6
6,Internacional,25.03,7
7,São Paulo,24.78,8
8,Santos,23.53,9
9,Atlético-GO,23.44,10
10,Coritiba,23.030000000000005,11
11,Ceará,22.330000000000002,12
12,América-MG,21.98,13
13,Juventude,21.23,14
14,Athletico-PR,20.17,15
15,Avaí,20.009999999999998,16
16,Botafogo,19.8,17
17,Corinthians,19.5,18
18,Cuiabá,18.549999999999997,19
19,Goiás,15.91,20
