,clube,P
0,Palmeiras,75.24393735254543
1,Corinthians,59.798365706144516
2,Fluminense,58.947500145906425
3,Internacional,58.09168946542433
4,Athletico-PR,55.71458388292764
5,Atlético-MG,53.78327195299209
6,Flamengo,52.29060468678312
7,São Paulo,51.77110020423121
8,Bragantino,50.505957655332985
9,Santos,47.87687513556101
10,Botafogo,47.21145057608119
11,Ceará,46.42524983391586
12,Goiás,46.32863278927705
13,Avaí,41.22739223404353
14,América-MG,40.63580624876771
15,Coritiba,40.11252269299082
16,Fortaleza,37.773629921453065
17,Cuiabá,36.14745684769854
18,Atlético-GO,35.318144173362434
19,Juventude,34.829751047058544
