,clube,xGA_geral
0,Atlético-MG,0.8510545589002565
1,Flamengo,0.9592627727383815
2,Fortaleza,1.0040108881062944
3,Corinthians,1.0719086218368048
4,América-MG,1.096025667886791
5,Athletico-PR,1.1011742218253602
6,São Paulo,1.1394984399067116
7,Palmeiras,1.1477578797442654
8,Internacional,1.1653762427154697
9,Juventude,1.1828163418059523
10,Coritiba,1.1923796534186264
11,Fluminense,1.1929138650125666
12,Atlético-GO,1.2367603779961804
13,Bragantino,1.25319898546309
14,Avaí,1.3507552300528616
15,Ceará,1.373331962021989
16,Santos,1.3963286877165544
17,Botafogo,1.401604681827905
18,Cuiabá,1.4727129448533836
19,Goiás,1.7373105666047062
