,clube,P
0,Palmeiras,79.91412256087366
1,Corinthians,62.719813807176315
2,Internacional,58.74062765619687
3,Fluminense,58.40603309241597
4,Athletico-PR,55.54862103084923
5,Atlético-MG,55.15860954768429
6,São Paulo,52.79264053380695
7,Bragantino,51.48427773919097
8,Flamengo,51.47787732828007
9,Botafogo,49.04143527493612
10,Santos,46.37474061083976
11,Goiás,43.14466811960212
12,Ceará,42.831849780615244
13,Fortaleza,41.60402784644258
14,Coritiba,41.15563451919072
15,América-MG,40.883504308858875
16,Avaí,38.44046870208738
17,Atlético-GO,37.90314219048269
18,Cuiabá,36.12224885971272
19,Juventude,32.87203367708846
