,mandante,visitante,prob_vitoria_mandante,prob_empate,prob_vitoria_visitante,prob_sg_mandante,prob_sg_visitante
0,Flamengo,Avaí,77.37077002368045,15.247383506213847,7.3777559565778335,55.33961889978156,9.197318012017222
1,América-MG,Atlético-GO,59.084479937832334,24.19352619126269,16.721850121971226,47.20166237140948,19.05602292012889
2,Bragantino,Fluminense,33.5832726078441,22.952385333324386,43.46403103197838,17.273005509687557,21.832760978715005
3,Corinthians,Atlético-MG,45.67168425910728,32.58744577116842,21.740867802477016,52.50395021047738,33.99678963078641
4,Santos,Fortaleza,42.08964490687666,32.094267695272436,25.81608549538527,46.70409355576604,34.576802877830396
5,Internacional,Palmeiras,29.930237362004824,32.365474277114885,37.70428726765387,37.15558727709418,42.8900339828087
6,Ceará,Juventude,55.17139209822457,30.581099781181358,14.247500577819567,62.48181285239356,29.41909548738869
7,Goiás,São Paulo,39.49956116756725,27.450550604841478,33.04987290315896,31.87921578327658,27.894205922540404
8,Cuiabá,Coritiba,43.347205182292605,31.285722404528908,25.36706938684816,46.02674105263087,32.84820045937321
9,Athletico-PR,Botafogo,45.79537654919605,27.96537796721682,26.23922832828139,39.4291471797532,26.54856349970168
