,mandante,visitante,prob_vitoria_mandante,prob_empate,prob_vitoria_visitante,prob_sg_mandante,prob_sg_visitante
0,Avaí,Atlético-MG,33.040339942344865,28.045598933342742,38.9140505028786,29.293774474687638,33.020756922555954
1,Botafogo,Coritiba,49.75144181927216,26.570824412995144,23.677691486294616,40.02225908073662,23.27595870269286
2,Bragantino,Goiás,55.078193529962725,24.126369609179005,20.795267297513664,39.279140309761814,18.517763333124034
3,Flamengo,Fluminense,62.94954601117841,20.957031847093337,16.092639219145415,41.05812639889939,13.70998483282208
4,Ceará,São Paulo,41.75745265967215,29.16133272500948,29.081207545677955,38.52899311740431,29.990773927270226
5,América-MG,Corinthians,32.55715159224095,36.673786690177,30.769061605685046,47.86149181406649,46.42270240513496
6,Juventude,Fortaleza,23.639472554008613,32.315358952387534,44.04516639718257,34.14602286299837,49.63072699396214
7,Palmeiras,Santos,61.850230145207185,26.258297815751046,11.89142820163048,62.138838974194265,23.115079160689344
8,Athletico-PR,Cuiabá,51.68473375145383,32.55742639075678,15.757836672909892,61.8992844870771,32.56910951933166
9,Atlético-GO,Internacional,23.131065189578337,26.03471494866546,50.83416201270495,22.17582834927368,39.71682247660962
