,clube,P,GP,GC,SG,Fase,ranking
0,Palmeiras,52,35,11,24,5,1
1,Corinthians,43,26,17,9,5,2
2,Fluminense,38,25,20,5,5,3
3,Internacional,36,26,19,7,5,4
4,Atlético-MG,36,25,19,6,5,5
5,Athletico-PR,35,23,22,1,5,6
6,Flamengo,34,24,17,7,5,7
7,Bragantino,34,30,24,6,5,8
8,Santos,33,21,14,7,5,9
9,São Paulo,30,26,23,3,5,10
10,Ceará,30,22,22,0,5,11
11,Goiás,29,21,24,-3,5,12
12,Botafogo,28,18,24,-6,5,13
13,Avaí,28,19,28,-9,5,14
14,Coritiba,26,20,29,-9,5,15
15,América-MG,25,12,22,-10,5,16
16,Cuiabá,24,12,19,-7,5,17
17,Atlético-GO,24,17,26,-9,5,18
18,Fortaleza,23,14,20,-6,5,19
19,Juventude,23,15,30,-15,5,20
