,clube,P,GP,GC,SG,Fase,ranking
0,Palmeiras,48,35,11,24,11,1
1,Corinthians,39,26,17,9,8,2
2,Fluminense,34,25,20,5,9,3
3,Internacional,32,26,19,7,4,4
4,Atlético-MG,32,25,19,6,6,5
5,Athletico-PR,31,23,22,1,6,6
6,Flamengo,30,24,17,7,11,7
7,Bragantino,30,30,24,6,8,8
8,Santos,29,21,14,7,6,9
9,São Paulo,26,26,23,3,5,10
10,Ceará,26,22,22,0,8,11
11,Goiás,25,21,24,-3,4,12
12,Botafogo,24,18,24,-6,5,13
13,Avaí,24,19,28,-9,5,14
14,Coritiba,22,20,29,-9,5,15
15,América-MG,21,12,22,-10,5,16
16,Cuiabá,20,12,19,-7,3,17
17,Atlético-GO,20,17,26,-9,2,18
18,Fortaleza,19,14,20,-6,6,19
19,Juventude,19,15,30,-15,6,20
