,mandante,visitante,odds_mandante,odds_empate,odds_visitante,odds_mandante_percent,odds_visitante_percent,odds_empate_percent
0,Juventude,Atlético-MG,4.43,3.39,1.85,22.573363431151243,54.05405405405405,29.49852507374631
1,Fluminense,Corinthians,2.17,3.1,3.66,46.08294930875576,27.322404371584696,32.25806451612903
2,Ceará,Internacional,2.5,3.06,3.01,40.0,33.222591362126245,32.6797385620915
3,Santos,Flamengo,2.83,3.17,2.56,35.3356890459364,39.0625,31.545741324921135
4,Palmeiras,Athletico-PR,1.41,4.44,8.52,70.92198581560284,11.737089201877934,22.52252252252252
5,Avaí,Cuiabá,2.19,3.1,3.57,45.662100456621005,28.011204481792717,32.25806451612903
6,Atlético-GO,São Paulo,2.93,3.04,2.57,34.129692832764505,38.91050583657588,32.89473684210527
7,América-MG,Goiás,1.9,3.44,4.16,52.63157894736842,24.038461538461537,29.069767441860467
8,Coritiba,Fortaleza,2.62,3.05,2.86,38.167938931297705,34.96503496503497,32.786885245901644
9,Bragantino,Botafogo,1.87,3.34,4.43,53.475935828877,22.573363431151243,29.940119760479046
