,scout,atleta_id,rodada_id,clube_id,posicao_id,status_id,pontos_num,preco_num,variacao_num,media_num,jogos_num,minimo_para_valorizar,slug,apelido,apelido_abreviado,nome,foto,status
0,{},37281,17,285,6,7,5.29,8.93,-0.13,4.75,14,,mano-menezes,Mano Menezes,M. Menezes,Luis Antônio Venker de Menezes,https://s.glbimg.com/es/sde/f/2022/04/20/e2710d5e2f652b8154c927ba13d68369_FORMATO.png,Provável
1,"{'DE': 49, 'DS': 1, 'GS': 10, 'SG': 8}",42234,17,264,1,7,0.0,12.64,0.0,5.73,14,,cassio,Cássio,Cássio,Cássio Roberto Ramos,https://s.glbimg.com/es/sde/f/2022/04/27/cea7970cc55ced32c922d0eb160757ad_FORMATO.png,Provável
2,"{'CA': 1, 'DE': 54, 'FS': 2, 'GS': 17, 'SG': 7}",37656,17,266,1,7,-1.5,10.0,-1.17,4.24,17,,fabio,Fábio,Fábio,Fábio Deivson Lopes Maciel,https://s.glbimg.com/es/sde/f/2022/04/20/aeae67450f0c19a81c7d356b86382594_FORMATO.png,Provável
3,"{'CA': 4, 'DS': 14, 'FC': 7, 'FD': 9, 'FF': 10, 'FS': 12, 'G': 6, 'I': 4, 'PI': 43, 'PS': 1}",80287,17,276,5,7,10.9,13.36,-0.51,6.14,13,,luciano,Luciano,Luciano,Luciano da Rocha Neves,https://s.glbimg.com/es/sde/f/2022/03/01/aeb1926a6ddb270206f4ceffcf701d4b_FORMATO.png,Provável
4,"{'A': 2, 'CA': 3, 'DS': 23, 'FC': 17, 'FF': 1, 'FS': 14, 'PI': 87, 'SG': 4}",38144,17,276,2,6,1.4,8.66,-0.6,3.24,15,,rafinha,Rafinha,Rafinha,Márcio Rafael Ferreira de Souza,https://s.glbimg.com/es/sde/f/2022/03/01/de7df71bb9091a8547f8d8bd0212b549_FORMATO.png,Nulo
5,"{'CA': 1, 'DS': 15, 'FC': 8, 'FF': 1, 'FS': 4, 'PI': 19, 'SG': 3}",38141,17,276,3,7,0.0,7.28,0.0,4.36,7,,miranda,Miranda,Miranda,João Miranda de Souza Filho,https://s.glbimg.com/es/sde/f/2022/03/01/63cdbc67a76c583cd60a4368a8c9441e_FORMATO.png,Provável
6,"{'DS': 18, 'FC': 9, 'FD': 3, 'FF': 2, 'FS': 11, 'G': 1, 'I': 1, 'PI': 69}",38398,17,264,4,6,0.0,7.07,0.0,2.78,11,,renato-augusto,Renato Augusto,R. Augusto,Renato Soares de Oliveira Augusto,https://s.glbimg.com/es/sde/f/2022/04/27/df30c3d9066a2e16c6625e3aa0a64436_FORMATO.png,Nulo
7,"{'CA': 2, 'DE': 25, 'FS': 2, 'GS': 14, 'PC': 1, 'SG': 2}",37788,17,356,1,6,0.0,3.45,0.0,2.11,9,,marcelo-boeck,Marcelo Boeck,M. Boeck,Marcelo Boeck,https://s.glbimg.com/es/sde/f/2022/02/23/34de12a5651c918b60321caf78ecbfa7_FORMATO.png,Nulo
8,"{'DE': 3, 'GS': 5, 'SG': 1}",38509,17,262,1,6,0.0,6.31,0.0,1.0,3,,diego-alves,Diego Alves,D. Alves,Diego Alves Carreira,https://s.glbimg.com/es/sde/f/2022/03/03/ebf5983aad74aded51b2bdca5bed278f_FORMATO.png,Nulo
9,"{'CA': 1, 'DS': 15, 'FC': 7, 'FS': 5, 'G': 1, 'PI': 53, 'SG': 5}",38229,17,264,2,7,0.0,6.51,-1.08,4.51,10,,fabio-santos,Fábio Santos,F. Santos,Fábio Santos Romeu,https://s.glbimg.com/es/sde/f/2022/04/27/a698af6f4d4843e3d21f96d87aa76ef7_FORMATO.png,Provável
10,"{'DS': 25, 'FC': 7, 'FS': 9, 'PC': 1, 'PI': 76, 'SG': 3}",78445,17,285,2,6,0.0,6.91,0.0,4.31,9,,rene,Renê,Renê,Renê Rodrigues Martins,https://s.glbimg.com/es/sde/f/2022/04/12/89131124e240b53f50f1fe351ceb880d_FORMATO.png,Nulo
11,"{'CA': 3, 'DS': 13, 'FC': 11, 'FD': 4, 'FF': 10, 'FS': 9, 'FT': 1, 'G': 1, 'I': 3, 'PI': 44, 'PS': 1}",72583,17,285,5,7,7.0,5.14,0.71,3.07,11,,pedro-henrique,Pedro Henrique,P. Henrique,Pedro Henrique Konzen Medina da Silva,https://s.glbimg.com/es/sde/f/2022/04/12/5422d339b6546dc0505e80e10b027269_FORMATO.png,Provável
12,{},72391,17,266,6,7,4.05,9.9,-0.12,4.92,13,,fernando-diniz,Fernando Diniz,F. Diniz,Fernando Diniz Silva,https://s.glbimg.com/es/sde/f/2021/05/09/62a59a2e7ec6602b8811cb920c3c3dba_FORMATO.png,Provável
13,"{'CA': 1, 'DS': 9, 'FC': 4, 'FF': 2, 'FS': 5, 'PI': 18}",38750,17,262,2,7,0.0,6.19,0.0,2.18,5,,filipe-luis,Filipe Luís,F. Luís,Filipe Luís Kasmirski,https://s.glbimg.com/es/sde/f/2022/04/25/369bf71d74f60350b1da899775cdd41b_FORMATO.png,Provável
14,"{'CA': 2, 'DS': 13, 'FC': 11, 'FF': 2, 'FS': 3, 'FT': 1, 'PC': 1, 'PI': 54, 'SG': 3}",72491,17,314,3,6,4.6,6.53,1.02,2.27,11,,bressan,Bressan,Bressan,Matheus Simonete Bressanelli,https://s.glbimg.com/es/sde/f/2022/03/08/0759780a94f5359aefe723b749494c0b_FORMATO.png,Nulo
15,"{'A': 1, 'CA': 5, 'DS': 29, 'FC': 10, 'FS': 5, 'PI': 75, 'SG': 6}",38877,17,282,2,7,5.1,8.61,0.22,5.68,10,,mariano,Mariano,Mariano,Mariano Ferreira Filho,https://s.glbimg.com/es/sde/f/2022/07/15/c04eede8e289c2e2a9d0b82097512fdc_FORMATO.png,Provável
16,"{'A': 1, 'DS': 3, 'FC': 9, 'FD': 3, 'FF': 3, 'FS': 12, 'G': 2, 'I': 4, 'PI': 43}",72524,17,290,5,7,-0.5,4.3,-2.61,2.92,10,,nicolas,Nicolas,Nicolas,Nicolas Godinho Johann,https://s.glbimg.com/es/sde/f/2022/03/10/28a598dad4f678bae3aec06052037f1c_FORMATO.png,Provável
17,"{'A': 2, 'CA': 1, 'DS': 21, 'FC': 4, 'FD': 5, 'FF': 5, 'FS': 27, 'I': 2, 'PI': 57}",42135,17,264,4,6,0.0,14.45,0.0,4.61,11,,willian,Willian,Willian,Willian Borges da Silva,https://s.glbimg.com/es/sde/f/2022/04/27/d71030cb82eac8c28c465bac03535385_FORMATO.png,Nulo
18,"{'A': 1, 'CA': 1, 'DS': 13, 'FC': 12, 'FD': 1, 'FF': 5, 'FS': 24, 'FT': 1, 'G': 4, 'I': 6, 'PI': 51, 'PS': 1}",38225,17,314,5,6,0.0,10.13,0.0,4.88,13,,muriqui,Muriqui,Muriqui,Luiz Guilherme da Conceição Silva,https://s.glbimg.com/es/sde/f/2022/02/24/4df18fe9d1a25d570f6c5f99adc76327_FORMATO.png,Nulo
19,{},38133,17,280,1,6,0.0,5.0,0.0,0.0,0,,julio-cesar,Júlio César,J. César,Júlio César de Souza Santos,https://s.glbimg.com/es/sde/f/2022/05/05/9b1825e6eb8df8afa08e56d3f539fd63_FORMATO.png,Nulo
20,"{'A': 2, 'CA': 4, 'DS': 5, 'FC': 23, 'FD': 4, 'FF': 20, 'FS': 33, 'FT': 3, 'G': 7, 'I': 12, 'PI': 78}",39148,17,282,5,7,5.5,19.73,0.84,7.03,14,,hulk,Hulk,Hulk,Givanildo Vieira de Souza,https://s.glbimg.com/es/sde/f/2022/07/15/ee2237ff2b55e16e4263c51c7626431e_FORMATO.png,Provável
21,{},72372,17,286,1,6,0.0,7.0,0.0,0.0,0,,felipe-alves,Felipe Alves,F. Alves,Felipe Alves Raymundo,https://s.glbimg.com/es/sde/f/2022/03/03/4d0134ca36fbe16f9ac38c3ba359e6ac_FORMATO.png,Nulo
22,{},40990,17,262,6,7,6.95,8.78,0.97,4.28,16,,dorival-junior,Dorival Júnior,D. Júnior,Dorival Silvestre Júnior,https://s.glbimg.com/es/sde/f/2022/03/28/d28c444ff6eaf5f7b58d9f2ef2bd5075_FORMATO.png,Provável
23,"{'CA': 1, 'FC': 2, 'FD': 1, 'FT': 1, 'G': 1, 'PI': 10}",38162,17,266,5,6,0.0,3.94,0.0,1.6,6,,fred,Fred,Fred,Frederico Chaves Guedes,https://s.glbimg.com/es/sde/f/2022/04/20/9685a046f69fb11824832142e8c5f364_FORMATO.png,Nulo
24,"{'A': 2, 'DS': 20, 'FC': 5, 'FD': 5, 'FF': 3, 'FS': 8, 'PC': 1, 'PI': 92, 'SG': 2}",42145,17,294,2,7,3.2,12.89,0.61,4.96,9,,egidio,Egídio,Egídio,Egídio de Araújo Pereira Júnior,https://s.glbimg.com/es/sde/f/2022/02/23/c73f6de76388d7abc83e4fe10be2059a_FORMATO.png,Provável
25,"{'CA': 1, 'DS': 1, 'FC': 3, 'FF': 3, 'FS': 3, 'I': 3, 'PI': 10}",38279,17,327,5,5,0.0,4.53,0.0,0.32,6,,wellington-paulista,Wellington Paulista,W. Paulista,Wellington Pereira do Nascimento,https://s.glbimg.com/es/sde/f/2022/02/25/12f12e3c03d86cbfec605b70666faaf3_FORMATO.png,Contundido
26,"{'CA': 2, 'DS': 5, 'FC': 7, 'FS': 7, 'PI': 23, 'SG': 2}",38545,17,266,3,6,2.4,6.31,0.37,1.64,8,,felipe-melo,Felipe Melo,F. Melo,Felipe Melo de Carvalho,https://s.glbimg.com/es/sde/f/2022/02/24/ae51c505f4d9ceba09c22ba954cca2bf_FORMATO.png,Nulo
27,{},38394,17,293,3,5,0.0,8.0,0.0,0.0,0,,thiago-heleno,Thiago Heleno,T. Heleno,Thiago Heleno Henrique Ferreira,https://s.glbimg.com/es/sde/f/2021/05/02/f69df2ecdf5d2a9d11697c61673c4358_FORMATO.png,Contundido
