,clube,xG_casa,xGA_casa,xG_fora,xGA_fora
1,Flamengo,2.0980232071147844,0.740486819012451,1.435399047176613,1.0961006569165792
2,Botafogo,1.1564880787626173,1.1291727346056764,1.1714169105390362,1.4640050486572023
3,Corinthians,1.1972407568359327,1.0134296128511113,0.9166598298884677,1.2607307002645536
4,Fluminense,1.696603995143106,0.962209196705762,0.9273794759331601,1.3087401209834482
5,Palmeiras,1.8655561499079731,0.9380423415300524,1.4500656398002276,1.107281750725096
6,São Paulo,1.510749879517211,1.0581889991423177,1.1988186569633799,1.3747669812036631
7,Santos,1.5313515786759313,1.5534547984786717,1.0638769231630874,1.447178943274988
8,Bragantino,1.669691080578297,1.0337616657084496,1.2250368469313881,1.5047959431106035
9,Atlético-MG,1.5981690748923085,0.78947072939738,1.3869892019433883,0.9791271399629745
10,Internacional,1.666237703579238,1.1545867307970856,1.2919921759147517,1.1573830347689256
11,Juventude,1.3706634221932017,1.068580745957832,0.6906889271878653,1.8644989462175683
12,Goiás,1.1825536072603064,1.6815000107151974,0.979888247502764,1.8612278299056937
13,Athletico-PR,1.212698976505319,1.4301019662012031,0.9358931030738,1.5477629144313292
14,Coritiba,1.2224938508494583,1.072298729410939,1.2960775584562714,1.6044464869161
15,Avaí,1.1471004006858294,1.2677263011493631,0.92805223656027,1.8525961612794786
16,América-MG,1.3474716505590614,1.0771351074712345,1.1130515164713188,1.7262118622396674
17,Ceará,1.2037256132016299,1.1800558873808413,1.2863391505065223,1.4367493381505152
18,Fortaleza,1.607730545778715,0.8496242318636047,0.9733599022967517,1.2875209697462666
19,Atlético-GO,1.470957616516393,1.206095499152375,1.0282161993122332,1.6628152710270188
20,Cuiabá,1.2314265356775245,1.0267160595548879,0.9689085212842938,1.3502400613310337
