,clube,P
0,Palmeiras,71.58651849970258
1,Corinthians,63.28890043081497
2,Athletico-PR,60.76739114712483
3,Atlético-MG,58.49096156726861
4,Internacional,58.23209731093648
5,Flamengo,56.45901591520007
6,São Paulo,55.54495809035015
7,Santos,54.7341703446729
8,Fluminense,54.32876884845928
9,Bragantino,51.33758053162833
10,Botafogo,49.032122610235675
11,Ceará,46.97619287622757
12,Goiás,45.77504045184967
13,Atlético-GO,43.48479497235597
14,Coritiba,43.4735588215163
15,Fortaleza,41.74513281295548
16,Avaí,38.151507618982436
17,América-MG,37.53885170053809
18,Cuiabá,37.06947552571375
19,Juventude,34.7638796319817
