,mandante,rodada_id,visitante,xG_mandante,xG_visitante,percent_mandante,percent_visitante,percent_empate,percent_sg_mandante,percent_sg_visitante,percent_sg_empate
0,Athletico-PR,17.0,Internacional,1.1167634632866479,1.1409187485166725,34.92,36.7,28.38,21.11,22.55,10.54
1,Flamengo,17.0,Coritiba,1.9672563356743695,1.7393844283757574,44.07,35.07,20.87,15.37,11.73,2.38
2,Avaí,17.0,Santos,1.1973899403494879,1.2156789979325477,35.62,36.6,27.79,20.51,21.34,9.28
3,Ceará,17.0,Corinthians,1.1743461665954922,0.9737180235951067,40.68,29.74,29.58,26.25,19.23,11.88
4,Juventude,17.0,Goiás,1.4184792661023011,1.122127379718549,44.29,29.35,26.36,24.93,15.7,7.9
5,São Paulo,17.0,Fluminense,1.482342280237897,1.2083971381197975,43.16,31.1,25.74,23.1,15.78,6.74
6,Botafogo,17.0,Atlético-MG,1.06262149472893,1.242315376049259,31.64,40.61,27.76,19.18,24.8,9.54
7,Atlético-GO,17.0,Fortaleza,1.4251315213254259,1.412107465224266,37.23,37.64,25.14,17.84,18.14,5.72
8,América-MG,17.0,Bragantino,1.3047918065210173,1.2852109119476465,37.09,37.08,25.83,19.79,20.01,7.76
9,Palmeiras,17.0,Cuiabá,1.7917209846029394,1.4971158864338296,44.9,32.57,22.53,18.09,13.14,3.63
