,mandante,visitante,odds_mandante,odds_empate,odds_visitante,odds_mandante_percent,odds_visitante_percent,odds_empate_percent
1,América-MG,Ceará,2.43,3.08,3.14,41.15226337448559,31.84713375796178,32.467532467532465
6,Santos,Internacional,2.37,3.1,3.27,42.19409282700421,30.58103975535168,32.25806451612903
7,Palmeiras,Botafogo,1.45,4.38,7.43,68.96551724137932,13.458950201884253,22.831050228310502
8,Coritiba,São Paulo,3.28,3.11,2.34,30.48780487804878,42.73504273504274,32.154340836012864
10,Corinthians,Juventude,1.66,3.58,5.77,60.24096385542169,17.33102253032929,27.932960893854748
11,Atlético-MG,Santos,1.36,4.84,8.91,73.52941176470587,11.22334455667789,20.66115702479339
12,Cuiabá,Bragantino,2.9,3.03,2.62,34.48275862068966,38.167938931297705,33.003300330033
13,Fluminense,Atlético-GO,1.87,3.39,4.44,53.475935828877,22.52252252252252,29.49852507374631
14,Internacional,Flamengo,3.0,3.38,2.35,33.33333333333333,42.5531914893617,29.585798816568047
15,São Paulo,América-MG,1.7,3.57,5.35,58.82352941176471,18.691588785046733,28.011204481792717
16,Fortaleza,Athletico-PR,2.07,3.37,3.63,48.309178743961354,27.548209366391184,29.673590504451035
17,Botafogo,Avaí,1.93,3.26,4.13,51.81347150259068,24.213075060532688,30.67484662576687
