,scout,atleta_id,rodada_id,clube_id,posicao_id,status_id,pontos_num,preco_num,variacao_num,media_num,jogos_num,minimo_para_valorizar,slug,apelido,apelido_abreviado,nome,foto,status
0,"{'CA': 1, 'DE': 45, 'GS': 14, 'SG': 5}",37656,13,266,1,7,9.0,11.3,0.48,4.23,13,,fabio,Fábio,Fábio,Fábio Deivson Lopes Maciel,https://s.glbimg.com/es/sde/f/2022/04/20/aeae67450f0c19a81c7d356b86382594_FORMATO.png,Provável
1,"{'DE': 3, 'GS': 5, 'SG': 1}",38509,13,262,1,7,-1.0,6.31,-1.12,1.0,3,,diego-alves,Diego Alves,D. Alves,Diego Alves Carreira,https://s.glbimg.com/es/sde/f/2022/03/03/ebf5983aad74aded51b2bdca5bed278f_FORMATO.png,Provável
2,"{'CA': 1, 'DE': 19, 'FS': 2, 'GS': 9, 'PC': 1, 'SG': 2}",37788,13,356,1,7,10.0,4.91,2.34,2.71,7,,marcelo-boeck,Marcelo Boeck,M. Boeck,Marcelo Boeck,https://s.glbimg.com/es/sde/f/2022/02/23/34de12a5651c918b60321caf78ecbfa7_FORMATO.png,Provável
3,"{'CA': 1, 'DS': 8, 'FC': 4, 'FS': 3, 'PI': 10, 'SG': 1}",38141,13,276,3,6,0.0,5.53,-1.0,3.23,4,,miranda,Miranda,Miranda,João Miranda de Souza Filho,https://s.glbimg.com/es/sde/f/2022/03/01/63cdbc67a76c583cd60a4368a8c9441e_FORMATO.png,Nulo
4,"{'DS': 18, 'FC': 9, 'FD': 3, 'FF': 2, 'FS': 11, 'G': 1, 'I': 1, 'PI': 69}",38398,13,264,4,7,4.2,7.07,0.24,2.78,11,,renato-augusto,Renato Augusto,R. Augusto,Renato Soares de Oliveira Augusto,https://s.glbimg.com/es/sde/f/2022/04/27/df30c3d9066a2e16c6625e3aa0a64436_FORMATO.png,Provável
5,{},37281,13,285,6,6,3.16,8.39,-0.32,4.59,11,,mano-menezes,Mano Menezes,M. Menezes,Luis Antônio Venker de Menezes,https://s.glbimg.com/es/sde/f/2022/04/20/e2710d5e2f652b8154c927ba13d68369_FORMATO.png,Nulo
6,"{'A': 1, 'CA': 3, 'DS': 14, 'FC': 9, 'FD': 4, 'FF': 7, 'FS': 10, 'FT': 2, 'G': 2, 'PI': 60}",63289,13,285,4,6,8.6,11.75,0.15,4.32,11,,edenilson,Edenílson,Edenílson,Edenílson Andrade dos Santos,https://s.glbimg.com/es/sde/f/2022/04/02/97f5d4131e53423d654abddad3cbc9ee_FORMATO.png,Nulo
7,"{'CA': 3, 'DS': 9, 'FC': 13, 'FD': 2, 'FF': 2, 'FS': 1, 'I': 1, 'PI': 29, 'SG': 1}",52827,13,262,3,5,0.0,5.26,0.0,1.3,8,,david-luiz,David Luiz,D. Luiz,David Luiz Moreira Marinho,https://s.glbimg.com/es/sde/f/2022/04/25/b04aadac11e76e4bd69df5b191e13d3c_FORMATO.png,Contundido
8,"{'A': 2, 'CA': 3, 'DS': 18, 'FC': 13, 'FF': 1, 'FS': 12, 'PI': 66, 'SG': 2}",38144,13,276,2,2,0.3,8.36,-0.19,2.9,12,,rafinha,Rafinha,Rafinha,Márcio Rafael Ferreira de Souza,https://s.glbimg.com/es/sde/f/2022/03/01/de7df71bb9091a8547f8d8bd0212b549_FORMATO.png,Dúvida
9,{},38133,13,280,1,6,0.0,5.0,0.0,0.0,0,,julio-cesar,Júlio César,J. César,Júlio César de Souza Santos,https://s.glbimg.com/es/sde/f/2022/05/05/9b1825e6eb8df8afa08e56d3f539fd63_FORMATO.png,Nulo
