,clube,P
0,Palmeiras,82.4023790922116
1,Corinthians,66.94301900612683
2,Internacional,62.573178939186974
3,Fluminense,61.93516948327764
4,Flamengo,54.22089937507343
5,Atlético-MG,53.09768367202237
6,Athletico-PR,52.33815842218901
7,Botafogo,52.30439580722196
8,São Paulo,51.98399084698565
9,Bragantino,48.56165034949166
10,Santos,48.01397649601025
11,América-MG,45.79953682693789
12,Coritiba,44.33819290404471
13,Goiás,44.291424250292124
14,Fortaleza,43.32748189042942
15,Ceará,38.62344571131582
16,Cuiabá,38.02505745036855
17,Atlético-GO,37.46043167651295
18,Avaí,34.69704272656488
19,Juventude,27.964652267108516
