,clube,P,GP,GC,SG,Fase,ranking
0,Palmeiras,25,21,5,16,13,1
1,Corinthians,19,15,11,4,6,2
2,Atlético-MG,16,16,13,3,8,3
3,Athletico-PR,16,12,14,-2,10,4
4,São Paulo,15,16,12,4,7,5
5,Coritiba,15,14,12,2,8,6
6,Internacional,15,11,9,2,7,7
7,Fluminense,14,13,12,1,9,8
8,América-MG,14,11,12,-1,5,9
9,Santos,13,13,9,4,3,10
10,Ceará,13,15,16,-1,7,11
11,Bragantino,13,11,12,-1,5,12
12,Goiás,13,11,13,-2,8,13
13,Flamengo,12,10,10,0,7,14
14,Botafogo,12,12,15,-3,4,15
15,Cuiabá,11,8,12,-4,4,16
16,Avaí,11,11,15,-4,1,17
17,Atlético-GO,10,8,13,-5,7,18
18,Juventude,10,10,17,-7,7,19
19,Fortaleza,7,7,12,-5,5,20
