,clube,xGA_geral
0,Atlético-MG,0.7663992636925359
1,Fortaleza,0.8534654002116366
2,Flamengo,0.9194531064902915
3,Palmeiras,0.9675573356572114
4,Coritiba,1.0816966923660873
5,Athletico-PR,1.1175966329313345
6,São Paulo,1.160089597529823
7,Internacional,1.1640799654137632
8,Avaí,1.187385256995039
9,Fluminense,1.2576573682965897
10,Botafogo,1.263601748984765
11,América-MG,1.272786310147466
12,Bragantino,1.3064416218346995
13,Juventude,1.3303331873934903
14,Corinthians,1.3307531193566944
15,Santos,1.3878042863012023
16,Atlético-GO,1.408256339048091
17,Cuiabá,1.5400996310965782
18,Ceará,1.5654226422063107
19,Goiás,2.0616064382698935
