,clube,ranking_clube,fase
0,Palmeiras,1,86.67
1,Internacional,2,73.33
2,Botafogo,10,66.67
3,América-MG,8,66.67
4,Coritiba,15,60.0
5,Fluminense,3,60.0
6,São Paulo,13,53.33
7,Corinthians,4,53.33
8,Athletico-PR,6,53.33
9,Fortaleza,9,46.67
10,Atlético-MG,7,46.67
11,Avaí,18,33.33
12,Cuiabá,17,33.33
13,Goiás,12,33.33
14,Flamengo,5,33.33
15,Bragantino,14,26.67
16,Ceará,16,26.67
17,Santos,11,20.0
18,Atlético-GO,19,20.0
19,Juventude,20,13.33
