,clube,xG_mean,xG_total
0,Flamengo,1.7057660370485053,40.938384889164176
1,Palmeiras,1.668510573392407,40.044253761417814
2,Atlético-MG,1.5068098284425613,37.670245711064
3,Internacional,1.487800973358553,37.195024333963836
4,Bragantino,1.41719060669348,35.42976516733703
5,São Paulo,1.3680942396856357,34.20235599214088
6,Fluminense,1.3090348382176322,32.72587095544079
7,Atlético-GO,1.2638597052070741,31.596492630176865
8,Fortaleza,1.2332298072047836,30.83074518011957
9,América-MG,1.283535395222056,30.80484948532933
10,Santos,1.252239500963318,30.053748023119642
11,Botafogo,1.1947225123155893,29.868062807889736
12,Ceará,1.191702005386892,29.792550134672283
13,Coritiba,1.2228095584926473,29.34742940382356
14,Corinthians,1.1027476599990935,27.568691499977337
15,Cuiabá,1.097136520382034,27.428413009550855
16,Goiás,1.0797123731442015,25.91309695546084
17,Avaí,1.0301872702015096,25.75468175503774
18,Athletico-PR,1.0280581723548496,25.701454308871227
19,Juventude,1.0154457441883915,25.386143604709787
