,mandante,visitante,odds_mandante,odds_empate,odds_visitante
0,América-MG,Athletico-PR,2.17,3.18,3.6
1,Ceará,Bragantino,2.15,3.33,3.47
2,Goiás,Atlético-MG,6.83,3.92,1.54
3,Cuiabá,Atlético-GO,2.26,3.05,3.55
4,Botafogo,Juventude,1.92,3.42,4.16
5,Corinthians,Fortaleza,1.85,3.5,4.5
6,Coritiba,Fluminense,2.43,3.12,3.11
7,Internacional,Avaí,1.49,4.1,7.23
8,São Paulo,Santos,1.65,3.88,5.47
