,mandante,visitante,prob_vitoria_mandante,prob_empate,prob_vitoria_visitante,prob_sg_mandante,prob_sg_visitante
0,São Paulo,Internacional,35.39421480887043,28.23218214551142,36.373594181033965,31.060499727287734,31.684581873026758
1,Fluminense,Goiás,65.70178382907145,19.060429656619526,15.235630428986374,37.879449965423575,10.850501180659048
2,Avaí,Ceará,34.243329129718184,33.52982866849137,32.22684169419187,42.60221741964903,41.07830045993599
3,Coritiba,Corinthians,28.148095602652035,31.8128744096232,40.039028239671076,35.07873959936506,43.781429486757354
4,Fortaleza,Bragantino,48.930487624113255,26.248168027413872,24.82129545930333,37.8422465703821,22.788026897642474
5,Palmeiras,América-MG,68.25827816739351,22.409046329037157,9.332491252483592,63.541658426997195,18.23472665929166
6,Juventude,Flamengo,11.231471600078565,22.205556789021756,66.56272194133864,17.246809525245656,57.18166673246532
7,Atlético-GO,Athletico-PR,37.182158973488804,26.604865855408537,36.21295118844755,28.033059241942443,27.462584700732855
8,Atlético-MG,Cuiabá,48.01912154719659,32.999211127797246,18.98166511980247,57.05099417147973,33.91886684416674
9,Botafogo,Santos,35.2735091757287,32.91509937272423,31.81139073993115,42.06249120843019,39.48297779617727
