,clube,media_geral,ranking_geral,media_casa,ranking_casa,media_fora,ranking_fora
0,Palmeiras,71.48625,1,77.2425,2,65.72999999999999,1
1,Flamengo,61.988937500000006,2,80.016,1,43.961875000000006,12
2,Internacional,61.336645833333336,3,70.47266666666668,3,52.20062499999999,3
3,Atlético-MG,59.61766666666668,4,62.022000000000006,8,57.213333333333345,2
4,Corinthians,56.95132211538461,5,67.111875,4,46.79076923076923,6
5,Fluminense,54.7325,6,65.47437500000001,5,43.990624999999994,11
6,Santos,52.843083333333325,7,62.117499999999986,7,43.568666666666665,13
7,Fortaleza,52.79296218487395,8,56.14357142857143,10,49.44235294117647,5
8,Athletico-PR,51.38437499999999,9,57.60874999999999,9,45.16,9
9,Coritiba,50.59361607142858,10,63.404375000000016,6,37.78285714285714,16
10,Bragantino,49.96333333333333,11,55.492,11,44.434666666666665,10
11,São Paulo,49.57258928571429,12,53.53142857142858,13,45.61375,7
12,Botafogo,48.906874999999985,13,47.07187499999999,15,50.741874999999986,4
13,América-MG,48.669062499999995,14,55.04312499999999,12,42.295,15
14,Goiás,43.23679166666666,15,44.087333333333326,16,42.386250000000004,14
15,Ceará,41.77558035714286,16,38.00687500000001,20,45.54428571428571,8
16,Cuiabá,40.476533613445376,17,47.18071428571428,14,33.77235294117647,19
17,Atlético-GO,39.0859375,18,41.399375,18,36.7725,17
18,Avaí,37.95357466063348,19,41.34176470588235,19,34.565384615384616,18
19,Juventude,37.04397321428572,20,42.83357142857143,17,31.254375000000007,20
