,clube,xG_mean,xG_total
0,Palmeiras,1.9094186727896194,21.0036054006858
1,Atlético-MG,1.5981255340006983,19.177506408008387
2,Atlético-GO,1.4347767693021283,17.217321231625547
3,Flamengo,1.504630862419976,16.550939486619747
4,Santos,1.3692720459964551,16.431264551957455
5,Coritiba,1.3479882286871883,16.175858744246263
6,São Paulo,1.3213261524804327,15.855913829765193
7,Fortaleza,1.2661553338058793,15.193864005670555
8,Internacional,1.251543742169816,15.018524906037792
9,Ceará,1.2308085238408222,14.769702286089858
10,América-MG,1.1567460757644643,13.880952909173573
11,Avaí,1.1482016129764807,13.778419355717768
12,Botafogo,1.1092150568076706,13.310580681692047
13,Bragantino,1.086197601071314,13.034371212855776
14,Fluminense,1.0801518549215325,12.9618222590584
15,Athletico-PR,1.0326711467129834,12.392053760555807
16,Goiás,1.0158047539460602,12.189657047352727
17,Juventude,1.0119750647571597,12.143700777085911
19,Corinthians,0.8668704539756279,10.40244544770754
20,Cuiabá,0.8211796873076561,9.85415624769187
