,clube,Média Geral,Ranking Geral,Média Mandante,Ranking Mandantes,Média Visitante,Ranking Visitantes
0,Palmeiras,82.655,1,90.27333333333333,1,54.09,4
1,Fluminense,64.51,2,57.706666666666656,8,53.43666666666667,5
2,América-MG,62.01833333333334,3,62.835,4,55.61833333333334,3
3,Corinthians,59.72999999999999,4,59.275,7,42.74666666666667,10
4,Internacional,55.910000000000004,5,71.32833333333333,2,49.41833333333333,6
5,Botafogo,53.01833333333334,6,48.49166666666667,11,66.58166666666666,1
6,Coritiba,51.580000000000005,7,67.165,3,38.76,13
7,Fortaleza,50.42000000000001,8,54.51,9,44.52666666666667,9
8,Goiás,50.16333333333333,9,42.018333333333324,15,42.199999999999996,11
9,Flamengo,48.74666666666666,10,60.01999999999999,5,40.98166666666666,12
10,Atlético-MG,46.69166666666667,11,50.02,10,48.63499999999999,7
11,Cuiabá,45.94499999999999,12,44.800000000000004,13,37.56166666666666,14
12,Santos,45.76333333333334,13,43.835,14,45.086666666666666,8
13,São Paulo,40.653333333333336,14,45.41666666666666,12,55.83500000000001,2
14,Athletico-PR,40.36333333333334,15,59.69166666666667,6,30.508333333333336,19
15,Atlético-GO,37.92666666666667,16,41.88999999999999,16,31.998333333333324,16
16,Ceará,33.855,17,37.4,19,31.92833333333333,17
17,Bragantino,33.401666666666664,18,40.419999999999995,17,35.58166666666667,15
18,Juventude,32.708333333333336,19,39.99999999999999,18,25.325000000000003,20
19,Avaí,29.88333333333333,20,33.714999999999996,20,31.665000000000003,18
