,clube,xP,ranking_xp
0,Palmeiras,35.93,1
1,Flamengo,35.190000000000005,2
2,Atlético-MG,34.010000000000005,3
3,Internacional,32.56,4
4,Fluminense,30.300000000000004,5
5,Fortaleza,28.560000000000002,6
6,São Paulo,27.93,7
7,América-MG,27.099999999999998,8
8,Bragantino,26.799999999999997,9
9,Atlético-GO,25.82,10
10,Cuiabá,24.78,11
11,Ceará,24.34,12
12,Santos,24.02,13
13,Corinthians,23.990000000000002,14
14,Botafogo,23.88,15
15,Coritiba,23.82,16
16,Juventude,20.849999999999998,17
17,Avaí,20.6,18
18,Athletico-PR,20.04,19
19,Goiás,18.299999999999997,20
