,clube,xGA_geral
0,Atlético-MG,0.9051556209526505
1,Flamengo,1.0094611155779079
2,Fortaleza,1.038023361895545
3,Palmeiras,1.0434333704824608
4,Corinthians,1.1223325729835363
5,Internacional,1.1421692356832778
6,Fluminense,1.1580431426681073
7,Bragantino,1.170638197748476
8,São Paulo,1.1939360356246138
9,Ceará,1.2537234189353068
10,Atlético-GO,1.2722283367608016
11,Botafogo,1.281401469502586
12,Santos,1.3049467115346403
13,Avaí,1.3610914735947341
14,Coritiba,1.3813160442536896
15,Cuiabá,1.387637866915156
16,Juventude,1.3982542859027238
17,América-MG,1.415456249916262
18,Athletico-PR,1.4590293729046118
19,Goiás,1.6956020925207955
