,clube,xG_total,xGA_total,xG_saldo
0,Flamengo,39.64041968444381,21.65417673004004,17.986242954403775
1,Palmeiras,38.33739583669818,23.436607356336687,14.900788480361491
2,Atlético-MG,35.82189932202836,21.223174432324257,14.598724889704101
3,Internacional,35.49875855392787,27.743637186792135,7.755121367135736
4,Fluminense,32.25702617212514,26.904860887992836,5.352165284132301
5,Fortaleza,30.9730853769056,25.645742419318456,5.327342957587145
6,Bragantino,34.73673513011622,30.462691305828635,4.274043824287588
7,São Paulo,32.514822437767094,29.19547176415177,3.3193506736153253
8,Coritiba,30.14927320406194,31.588794838419304,-1.4395216343573622
9,Ceará,29.880777164497825,31.40166270637628,-1.520885541878453
10,Corinthians,25.366807040692805,27.28992375738798,-1.9231167166951764
11,Cuiabá,26.40402068354182,28.52347345063106,-2.119452767089239
12,Botafogo,27.934859871619842,31.118133399154544,-3.183273527534702
13,América-MG,29.526278004364563,33.64016363653082,-4.113885632166259
14,Atlético-GO,29.990085789943514,34.426929242152724,-4.43684345220921
15,Santos,31.142742022068227,36.00760490104392,-4.864862878975693
16,Athletico-PR,25.50629908151791,35.852039515820515,-10.345740434302606
17,Juventude,24.736228192572803,35.1969563061048,-10.460728113532
18,Avaí,24.90183164695319,37.4438695491461,-12.54203790219291
19,Goiás,25.949302257156845,42.512734087450696,-16.56343183029385
