,clube,xG_casa,xGA_casa,xG_fora,xGA_fora
1,Flamengo,2.072589358276561,0.6901462017499436,1.3346155483736255,1.0777224511019343
2,Botafogo,1.1729379249403928,1.2385694489573822,1.1696809916612685,1.557944427274964
3,Corinthians,1.3042780410754902,1.0354731558624735,0.9997078504933888,1.1969148002838093
4,Fluminense,1.6979143562400507,0.9670275195797147,0.9201174631286984,1.2830092032448495
5,Palmeiras,2.061057860670329,0.897630349252183,1.3970312527252715,1.0742180901666203
6,São Paulo,1.474530878438064,1.0744516638011115,1.3322007592224523,1.388633816599935
7,Santos,1.51409628990628,1.5200081869402988,1.0223680025239255,1.422301010117785
8,Bragantino,1.5284503867975179,1.0211697164541864,1.1767529891747013,1.6752427812873452
9,Atlético-MG,1.636429265664484,0.7720249994607662,1.4229596668394326,1.051149862740664
10,Internacional,1.550269259675471,1.0651924665892478,1.3589717014219098,1.1921704048393083
11,Juventude,1.4962428499011071,1.081448911517783,0.7013600604118947,1.9238321213499554
12,Goiás,1.0481890567507413,1.6455194858617033,0.9188611462231304,1.9348650685285602
13,Athletico-PR,1.2940839443189014,1.4331375901197672,0.9220136778213617,1.617408631341879
14,Coritiba,1.2706439801041582,1.1057389841747327,1.2823096316370939,1.8103234719972627
15,Avaí,1.2217805877848875,1.2416388528691253,0.9243212127396899,1.8287817416448882
16,América-MG,1.672042131413741,1.1234796557646025,1.2567247512694153,1.6487801191384457
17,Ceará,1.174143742702318,1.17846464108669,1.1678007195466882,1.4779159653018616
18,Fortaleza,1.6000694248056582,0.9795008433399186,1.0808366075578868,1.3453518812925451
19,Atlético-GO,1.6258467217346475,1.205760323416006,1.157617357139934,1.6308811913943195
20,Cuiabá,1.237168551575874,1.0277232436010135,0.8532994597915048,1.3791497443633924
