,clube,xP,ranking_xp
0,Palmeiras,37.4,1
1,Flamengo,36.65,2
2,Atlético-MG,35.11,3
3,Internacional,32.730000000000004,4
4,Fluminense,31.120000000000005,5
5,São Paulo,29.31,6
6,Fortaleza,28.25,7
7,Corinthians,26.64,8
8,Bragantino,26.37,9
9,América-MG,26.369999999999997,10
10,Atlético-GO,26.259999999999998,11
11,Coritiba,24.279999999999998,12
12,Cuiabá,23.87,13
13,Ceará,23.77,14
14,Santos,23.54,15
15,Botafogo,23.410000000000004,16
16,Athletico-PR,21.769999999999996,17
17,Avaí,20.560000000000002,18
18,Juventude,19.600000000000005,19
19,Goiás,15.849999999999998,20
