,mandante,rodada_id,visitante,xG_mandante,xG_visitante,percent_mandante,percent_visitante,percent_empate,percent_sg_mandante,percent_sg_visitante,percent_sg_empate
0,Internacional,14.0,Coritiba,1.6024063923158223,1.426320597686948,42.66,34.02,23.32,19.64,15.78,4.52
1,Athletico-PR,14.0,Bragantino,1.3580321315928026,1.2094269954345334,40.72,33.07,26.21,22.34,17.46,7.62
2,Flamengo,14.0,América-MG,1.636692393148849,1.4669853378080955,41.62,34.55,23.83,18.46,15.1,4.67
3,Corinthians,14.0,Santos,1.1225008442611992,1.0760611017456636,36.66,34.32,29.02,23.36,21.5,11.3
4,Atlético-MG,14.0,Fortaleza,1.4246183781544073,1.3453530379669796,39.47,35.07,25.47,19.96,17.27,6.2
5,Botafogo,14.0,Fluminense,1.3075194834286155,1.024708173761161,43.29,28.72,27.99,26.45,17.09,9.49
6,Avaí,14.0,Palmeiras,1.2726376139663942,1.6290375761553681,30.05,45.56,24.39,14.06,22.49,5.22
7,São Paulo,14.0,Juventude,1.5744402855768105,1.03241143354119,50.17,24.77,25.06,28.35,12.71,7.13
8,Ceará,14.0,Atlético-GO,1.4433559699812086,1.1879451827978489,43.25,30.36,26.39,23.36,15.77,7.5
9,Goiás,14.0,Cuiabá,1.3397020928909704,0.9110772876933781,46.61,25.3,28.1,29.7,15.79,10.37
