,clube,P,GP,GC,SG,Fase,ranking
0,Palmeiras,22,17,5,12,11,1
1,Corinthians,19,15,10,5,9,2
2,Atlético-MG,16,13,8,5,8,3
3,São Paulo,14,15,11,4,7,4
4,Coritiba,14,13,11,2,7,5
5,Internacional,14,10,8,2,7,6
6,América-MG,14,11,10,1,8,7
7,Athletico-PR,13,9,13,-4,10,8
8,Santos,12,12,8,4,5,9
9,Flamengo,12,10,9,1,7,10
10,Botafogo,12,12,11,1,7,11
11,Goiás,12,10,12,-2,10,12
12,Fluminense,11,8,9,-1,7,13
13,Avaí,11,10,13,-3,4,14
14,Bragantino,10,10,12,-2,2,15
15,Ceará,10,13,16,-3,4,16
16,Juventude,10,9,14,-5,8,17
17,Cuiabá,8,7,12,-5,1,18
18,Atlético-GO,7,6,12,-6,4,19
19,Fortaleza,6,6,11,-5,5,20
