,mandante,rodada_id,visitante,xG_mandante,xG_visitante,percent_mandante,percent_visitante,percent_empate,percent_sg_mandante,percent_sg_visitante,percent_sg_empate,sg_mandante_total,sg_visitante_total,sg_total
0,Cuiabá,33.0,Goiás,1.593039931710583,1.106335321873655,48.63,26.55,24.82,26.0,13.48,6.54,32.54,20.02,52.56
1,Santos,33.0,Corinthians,1.3354158783654813,1.251885041959335,38.91,34.03,27.05,21.45,18.62,7.85,29.299999999999997,26.47,55.769999999999996
2,Coritiba,33.0,Internacional,1.2191646937904292,1.3006856126058635,34.54,38.44,27.02,19.1,21.12,8.16,27.26,29.28,56.540000000000006
3,Bragantino,33.0,Athletico-PR,1.548691249130966,1.2545469906822455,43.84,31.16,25.0,22.36,15.56,5.91,28.27,21.47,49.739999999999995
4,Fortaleza,33.0,Atlético-MG,1.2767707066292777,1.4551422931634495,33.38,40.94,25.68,17.08,20.77,6.6,23.68,27.369999999999997,51.05
5,Atlético-GO,33.0,Ceará,1.5288784507676105,1.372666211575572,41.2,33.78,25.02,19.88,15.92,5.64,25.52,21.56,47.08
6,Juventude,33.0,São Paulo,1.3808529919661274,1.3733589149426582,37.67,37.26,25.07,19.0,18.95,6.11,25.11,25.06,50.17
7,América-MG,33.0,Flamengo,1.3845315419758069,1.5048929349045794,35.17,39.99,24.83,16.86,19.39,5.59,22.45,24.98,47.43
8,Fluminense,33.0,Botafogo,1.6211755253427715,1.4413494235469981,41.98,33.88,24.13,19.35,15.01,4.56,23.91,19.57,43.480000000000004
9,Palmeiras,33.0,Avaí,1.9416493094906162,1.4654023496714388,49.2,28.48,22.31,20.24,10.89,3.46,23.7,14.350000000000001,38.05
