,clube,P
0,Palmeiras,66.85204434291039
1,Corinthians,62.429881474004446
2,Atlético-MG,58.738089094161886
3,São Paulo,58.620842088102215
4,Flamengo,58.2158356869474
5,Athletico-PR,56.818190497313815
6,Internacional,55.97038898622006
7,Santos,54.387632670458274
8,Fluminense,53.16374992642501
9,Botafogo,50.02520192606107
10,Bragantino,49.54529474893187
11,Coritiba,48.74608016567892
12,Goiás,46.70460019575761
13,Ceará,46.661908389561304
14,Fortaleza,44.86375529697545
15,América-MG,40.02622778929332
16,Juventude,39.04189194553721
17,Atlético-GO,38.60450370881905
18,Cuiabá,37.277972603845285
19,Avaí,34.987613090490534
