,apelido,atleta_id,clube,posicao,media_casa,media_fora
96,Diego,101728,São Paulo,ZAG,5.5,-0.4333333333333333
97,Diego Gonçalves,90540,Botafogo,ATA,5.866666666666667,1.5666666666666664
98,Dorival Júnior,40990,Ceará,TEC,2.6666666666666665,3.4050000000000002
99,Douglas Friedrich,78584,Avaí,GOL,2.5,3.0
100,Du Queiroz,113687,Corinthians,MEI,0.7,3.5
101,Dudu,68920,Palmeiras,ATA,6.949999999999999,2.0
102,Dudu,97133,Atlético-GO,LAT,4.35,0.2
103,Edenílson,63289,Internacional,MEI,5.85,4.366666666666666
104,Eder,91521,São Paulo,ATA,2.6333333333333333,3.9333333333333336
105,Edinho,80193,Juventude,ATA,0.5,0.4
106,Edson ,80370,Atlético-GO,MEI,3.25,1.2
107,Edson Fernando,105901,Atlético-GO,MEI,1.9,2.35
108,Eduardo,91688,Avaí,MEI,3.3,1.5
109,Eduardo Baptista,87211,Juventude,TEC,3.026666666666667,2.91
110,Eduardo Barroca,77774,Avaí,TEC,4.24,4.12
111,Eduardo Bauermann,86970,Santos,ZAG,3.8333333333333335,7.9
112,Eduardo Sasha,70360,Atlético-MG,ATA,1.5333333333333332,1.5
113,Egídio,42145,Coritiba,LAT,10.799999999999999,4.65
114,Elton,38588,Cuiabá,ATA,1.5,2.966666666666667
115,Elvis,73347,Goiás,MEI,9.9,5.8
116,Eric Ramires,103295,Bragantino,MEI,2.0,-0.75
117,Erick,97810,Ceará,ATA,0.49999999999999994,1.7
118,Erick,98022,Athletico-PR,MEI,0.6,0.6
119,Erison,108422,Botafogo,ATA,4.3999999999999995,11.066666666666668
120,Estevão,117870,Internacional,MEI,-0.6,0.0
121,Everaldo ,91151,América-MG,ATA,8.1,4.35
122,Everson,72294,Atlético-MG,GOL,4.25,3.0
123,Everton,50301,Cuiabá,MEI,1.5499999999999998,5.266666666666667
124,Everton Ribeiro,51772,Flamengo,MEI,7.1,2.3000000000000003
125,Fabián Bustos,107645,Santos,TEC,6.423333333333335,3.5
126,Fabrício,105171,Coritiba,ATA,4.3999999999999995,6.35
127,Felipe,91733,Fortaleza,MEI,2.7,2.3333333333333335
128,Felipe Azevedo,60825,América-MG,ATA,6.6,0.1333333333333333
129,Felipe Marques,101054,Cuiabá,ATA,0.15,0.825
130,Fellipe Bastos,70116,Goiás,MEI,1.8666666666666665,0.13333333333333333
131,Fernando Diniz,72391,Fluminense,TEC,4.2,2.43
132,Filipe Luís,38750,Flamengo,LAT,3.7,0.0
133,Fred,38162,Fluminense,ATA,0.8500000000000001,0.15
134,Fábio,37656,Fluminense,GOL,3.3333333333333335,3.6666666666666665
135,Fábio Carille,70696,Athletico-PR,TEC,4.385,3.15
136,Fábio Gomes,100641,Atlético-MG,ATA,1.0,0.0
137,Gabriel,78605,Internacional,MEI,4.1,1.2
138,Gabriel,83257,Flamengo,ATA,5.3,0.5666666666666667
139,Gabriel Lacerda,108176,Ceará,ZAG,0.65,2.05
140,Gabriel Veron,103764,Palmeiras,ATA,3.0,1.5
141,Ganso,62977,Fluminense,MEI,2.5,6.2
142,Gatito Fernández,74061,Botafogo,GOL,2.0,13.0
143,Geovane,105336,Ceará,MEI,0.10000000000000002,-0.5
144,Gil,68923,Corinthians,ZAG,6.6,5.800000000000001
145,Giovane,117849,Corinthians,ATA,1.6,0.9
146,Giovani,111759,Palmeiras,ATA,0.2,0.0
147,Giuliano,51548,Corinthians,MEI,4.4,0.85
148,Godín,69299,Atlético-MG,ZAG,3.8,0.0
149,Gomes,107109,Flamengo,MEI,7.75,6.233333333333333
150,Guga,101319,Atlético-MG,LAT,5.933333333333334,4.2
151,Guilherme Arana,87228,Atlético-MG,LAT,4.433333333333334,4.9
152,Guilherme Biro,107555,Coritiba,LAT,-0.2,1.5
153,Guilherme Parede,83438,Juventude,ATA,1.6,1.7333333333333332
154,Guillermo de los Santos,87238,Coritiba,ZAG,5.0,1.7
155,Gustavo Garcia,107225,Palmeiras,LAT,5.0,0.0
156,Gustavo Gómez,71684,Palmeiras,ZAG,6.875,4.4
157,Gustavo Mantuan,110270,Corinthians,MEI,1.8499999999999999,5.35
158,Gustavo Morínigo,88881,Coritiba,TEC,7.56,3.9033333333333338
