,scout,atleta_id,rodada_id,clube_id,posicao_id,status_id,pontos_num,preco_num,variacao_num,media_num,jogos_num,minimo_para_valorizar,slug,apelido,apelido_abreviado,nome,foto,status
0,{},42500,3,264,2,7,0.0,12.0,0.0,0.0,0,,fagner,Fagner,Fagner,Fagner Conserva Lemos,https://s.glbimg.com/es/sde/f/2022/04/27/95fc5f697734bd603edc509a2d4bba7c_FORMATO.png,Provável
1,"{'A': 3, 'DS': 7, 'FC': 5, 'FD': 2, 'FF': 2, 'FS': 7, 'I': 1, 'PI': 24}",94509,3,275,4,6,15.6,18.76,2.99,8.97,3,,raphael-veiga,Raphael Veiga,R. Veiga,Raphael Cavalcante Veiga,https://s.glbimg.com/es/sde/f/2022/02/21/edbc22b64b00c1cd70870abf8d429ffd_FORMATO.png,Nulo
2,"{'DS': 4, 'FC': 3, 'FD': 1, 'FF': 2, 'FS': 5, 'FT': 1, 'PI': 10}",63289,3,285,4,7,3.7,11.46,-1.42,5.6,2,,edenilson,Edenílson,Edenílson,Edenílson Andrade dos Santos,https://s.glbimg.com/es/sde/f/2022/04/02/97f5d4131e53423d654abddad3cbc9ee_FORMATO.png,Provável
3,"{'A': 1, 'CA': 1, 'FC': 2, 'FD': 1, 'FF': 3, 'FS': 5, 'G': 2, 'I': 2, 'PI': 8}",39148,3,282,5,7,5.6,21.19,-1.86,12.25,2,,hulk,Hulk,Hulk,Givanildo Vieira de Souza,https://s.glbimg.com/es/sde/f/2021/04/23/d9ed7fa34aa12e4ce8768c9c2a2b4560_FORMATO.png,Provável
4,"{'CA': 1, 'DE': 17, 'FS': 2, 'GS': 3, 'SG': 1}",93882,3,280,1,7,8.0,10.23,1.19,6.33,3,,cleiton,Cleiton,Cleiton,Cleiton Schwengber,https://s.glbimg.com/es/sde/f/2022/02/21/c4d7c76ba8761fafc7a17e9da673dc84_FORMATO.png,Provável
5,"{'DS': 1, 'FC': 1, 'FD': 2, 'FF': 1, 'G': 1, 'I': 1, 'PI': 8}",90285,3,262,5,6,0.0,17.97,0.0,11.2,1,,bruno-henrique,Bruno Henrique,B. Henrique,Bruno Henrique Pinto,https://s.glbimg.com/es/sde/f/2022/04/25/b3a232f9392817871f70ab3b32069e30_FORMATO.png,Nulo
6,"{'DS': 6, 'FC': 4, 'FF': 3, 'FS': 3, 'PI': 8}",109282,3,266,5,6,1.7,5.07,-0.39,3.03,3,,luiz-henrique,Luiz Henrique,L. Henrique,Luiz Henrique André Rosa da Silva,https://s.glbimg.com/es/sde/f/2021/08/19/131f19bc697057f38a3c8ec99c785a97_FORMATO.png,Nulo
7,"{'DS': 6, 'FF': 1, 'FS': 4, 'PI': 21, 'SG': 1}",102130,3,275,2,6,10.3,7.06,2.59,6.45,2,,piquerez,Piquerez,Piquerez,Joaquín Piquerez Moreira,https://s.glbimg.com/es/sde/f/2022/02/21/82bd262ef647de7255e8df06fdd8e3f2_FORMATO.png,Nulo
8,"{'CA': 1, 'FD': 1, 'FF': 2, 'FS': 2, 'G': 1, 'I': 1, 'PI': 12}",83257,3,262,5,6,0.7,10.98,-1.83,3.17,3,,gabriel,Gabriel,Gabriel,Gabriel Barbosa Almeida,https://s.glbimg.com/es/sde/f/2022/04/25/8ce4db9e01696fbbc278bb084f675352_FORMATO.png,Nulo
9,{},37424,3,1371,6,7,5.88,7.08,1.22,4.31,3,,pintado,Pintado,Pintado,Luiz Carlos de Oliveira Preto,https://s.glbimg.com/es/sde/f/2019/10/22/4dc47f9ac81a1f2c7dfe2868232f8d29_FORMATO.png,Provável
10,"{'A': 1, 'CA': 2, 'DS': 4, 'FC': 2, 'FF': 2, 'FS': 6, 'PI': 12}",68952,3,262,5,6,4.3,7.31,0.1,5.8,2,,marinho,Marinho,Marinho,Mário Sérgio Santos Costa,https://s.glbimg.com/es/sde/f/2022/04/25/b4786e494c8f4852f2ae91d6e0c57b2e_FORMATO.png,Nulo
11,"{'DE': 9, 'GS': 1, 'SG': 1}",42234,3,264,1,7,0.0,10.44,0.0,6.5,2,,cassio,Cássio,Cássio,Cássio Roberto Ramos,https://s.glbimg.com/es/sde/f/2022/04/27/cea7970cc55ced32c922d0eb160757ad_FORMATO.png,Provável
12,{},101708,3,277,2,6,0.0,7.0,0.0,0.0,0,,felipe-jonatan,Felipe Jonatan,F. Jonatan,Felipe Jonatan Rocha Andrade,https://s.glbimg.com/es/sde/f/2022/03/03/e7109f32d289e269f43592da6566c2e5_FORMATO.png,Nulo
13,"{'DS': 8, 'FF': 1, 'PI': 7}",81091,3,282,4,7,7.8,7.25,1.79,3.23,3,,jair,Jair,Jair,Jair Rodrigues Júnior,https://s.glbimg.com/es/sde/f/2021/05/02/9f45c3d8021bc336ee9149455cd40768_FORMATO.png,Provável
14,{},110506,3,275,6,6,10.65,11.51,2.08,6.02,3,,abel-ferreira,Abel Ferreira,A. Ferreira,Abel Fernando Moreira Ferreira,https://s.glbimg.com/es/sde/f/2021/04/27/574e87d52be9d06fd03fa69fefb60255_FORMATO.png,Nulo
15,"{'CA': 1, 'DS': 1, 'FC': 3, 'FF': 1, 'G': 2, 'PI': 10}",89226,3,327,3,6,0.0,8.65,0.0,7.55,2,,iago-maidana,Iago Maidana,I. Maidana,Iago Justen Maidana Martins,https://s.glbimg.com/es/sde/f/2022/02/24/ac60436f13f7ce52c62ccb9b8d4ac384_FORMATO.png,Nulo
16,"{'CA': 1, 'DS': 3, 'FC': 7, 'FD': 4, 'FF': 4, 'FS': 8, 'G': 1, 'I': 2, 'PI': 9}",109497,3,277,5,7,13.8,10.6,3.34,6.47,3,,marcos-leonardo,Marcos Leonardo,M. Leonardo,Marcos Leonardo Santos Almeida,https://s.glbimg.com/es/sde/f/2022/03/03/70c0680cfe4346861b4db5ebeba1fdbd_FORMATO.png,Provável
17,"{'CA': 1, 'DS': 4, 'FC': 1, 'FD': 1, 'FF': 4, 'FS': 2, 'G': 2, 'I': 1, 'PI': 19, 'SG': 1}",71684,3,275,3,6,15.2,17.17,3.08,9.3,3,,gustavo-gomez,Gustavo Gómez,G. Gómez,Gustavo Raúl Gómez Portillo,https://s.glbimg.com/es/sde/f/2022/02/21/f210b8623194d0722dd0d76585950fb1_FORMATO.png,Nulo
18,"{'CA': 1, 'DS': 5, 'FC': 5, 'FS': 5, 'PI': 10, 'SG': 1}",104250,3,264,3,7,2.5,5.36,-0.14,3.33,3,,joao-victor,João Victor,J. Victor,João Victor da Silva Marcelino,https://s.glbimg.com/es/sde/f/2022/04/27/f3e5573d52686895a481f6eb2b0189bb_FORMATO.png,Provável
