,clube,xP,ranking_xp
0,Palmeiras,35.169999999999995,1
1,Atlético-MG,34.75,2
2,Flamengo,32.43,3
3,Fluminense,28.95,4
4,Fortaleza,28.7,5
5,Internacional,28.339999999999996,6
6,Bragantino,27.400000000000002,7
7,São Paulo,27.009999999999998,8
8,Atlético-GO,26.6,9
9,Coritiba,25.37,10
10,América-MG,24.91,11
11,Santos,24.88,12
12,Ceará,23.409999999999997,13
13,Corinthians,23.21,14
14,Athletico-PR,23.12,15
15,Botafogo,22.939999999999998,16
16,Cuiabá,22.829999999999995,17
17,Avaí,21.099999999999998,18
18,Juventude,20.91,19
19,Goiás,18.09,20
