,mandante,visitante,odds_mandante,odds_empate,odds_visitante,odds_mandante_percent,odds_visitante_percent,odds_empate_percent
0,Atlético-MG,Bragantino,1.68,3.73,5.53,59.523809523809526,18.083182640144667,26.80965147453083
1,Ceará,Santos,2.14,3.23,3.56,46.728971962616825,28.08988764044944,30.959752321981426
2,Internacional,Cuiabá,1.55,3.76,6.7,64.51612903225806,14.925373134328357,26.595744680851062
3,Fluminense,Fortaleza,1.79,3.42,4.86,55.865921787709496,20.576131687242796,29.239766081871345
4,Palmeiras,Juventude,1.18,6.9,16.07,84.74576271186442,6.222775357809583,14.492753623188406
5,Avaí,Athletico-PR,2.8,3.17,2.58,35.714285714285715,38.75968992248062,31.545741324921135
6,Botafogo,América-MG,2.14,3.19,3.62,46.728971962616825,27.624309392265197,31.347962382445143
7,Coritiba,Atlético-GO,2.22,3.2,3.38,45.04504504504504,29.585798816568047,31.25
8,São Paulo,Corinthians,2.17,3.18,3.64,46.08294930875576,27.47252747252747,31.446540880503143
9,Goiás,Flamengo,5.83,3.98,1.57,17.152658662092623,63.69426751592356,25.125628140703515
