,clube,xGA_geral
0,Flamengo,0.866387844737355
1,Atlético-MG,0.9020636389906393
2,Palmeiras,1.011427981575828
3,Fluminense,1.1035475390161946
4,Fortaleza,1.1488766628995315
5,Internacional,1.1720777579785864
6,Corinthians,1.183792363016404
7,São Paulo,1.1856721337823652
8,Cuiabá,1.2317656721366235
9,Bragantino,1.2805457711229324
10,Ceará,1.3013045086448414
11,América-MG,1.362921728751206
12,Botafogo,1.3820951448472933
13,Atlético-GO,1.4135012155720827
14,Santos,1.4755231209519772
15,Athletico-PR,1.477174768401128
16,Coritiba,1.4869255393703467
17,Juventude,1.5298469826004895
18,Avaí,1.5780386822345807
19,Goiás,1.8170378673397594
