,clube,P,GP,GC,SG,Fase,ranking
0,Palmeiras,34,29,8,21,13,1
1,Corinthians,26,19,12,7,10,2
2,Atlético-MG,21,19,14,5,6,3
3,Internacional,21,18,14,4,10,4
4,Athletico-PR,21,14,15,-1,9,5
5,Santos,18,18,13,5,7,6
6,São Paulo,18,18,15,3,5,7
7,Bragantino,18,18,17,1,8,8
8,Fluminense,18,15,14,1,7,9
9,Botafogo,18,16,18,-2,6,10
10,Avaí,17,15,19,-4,7,11
11,Ceará,16,16,17,-1,7,12
12,Atlético-GO,16,15,18,-3,9,13
13,Flamengo,15,13,15,-2,3,14
14,Coritiba,15,16,19,-3,2,15
15,América-MG,15,11,14,-3,4,16
16,Goiás,14,13,17,-4,5,17
17,Cuiabá,13,9,15,-6,5,18
18,Fortaleza,11,10,15,-5,8,19
19,Juventude,10,12,24,-12,3,20
