,mandante,rodada_id,visitante,xG_mandante,xG_visitante,percent_mandante,percent_visitante,percent_empate,percent_sg_mandante,percent_sg_visitante,percent_sg_empate,sg_mandante_total,sg_visitante_total,sg_total
0,Athletico-PR,27.0,Cuiabá,1.2557616290004927,1.0076772789794186,41.23,29.93,28.85,25.49,18.32,10.62,36.11,28.939999999999998,65.05
1,Avaí,27.0,Atlético-MG,1.1446838036399476,1.2474734147537325,33.23,39.22,27.56,19.66,23.01,9.05,28.71,32.06,60.77
2,Juventude,27.0,Fortaleza,1.3463435913605948,1.155216643994274,40.91,31.75,27.35,23.21,17.64,8.3,31.51,25.94,57.45
3,Ceará,27.0,São Paulo,1.2128434919169133,1.1560280380059123,37.35,35.22,27.43,22.01,20.8,9.02,31.03,29.82,60.85
4,Botafogo,27.0,Coritiba,1.491083535767678,1.193181415729835,43.85,30.3,25.85,23.3,15.87,6.79,30.09,22.66,52.75
5,Bragantino,27.0,Goiás,1.6415459504602676,1.2091454447550645,47.48,28.14,24.38,23.82,13.36,5.67,29.490000000000002,19.03,48.52
6,América-MG,27.0,Corinthians,1.405253950763115,1.2700827527166612,39.88,33.87,26.25,20.97,17.69,6.84,27.81,24.53,52.34
7,Atlético-GO,27.0,Internacional,1.3033514192100215,1.3903230630351904,35.5,39.03,25.47,18.21,20.11,6.65,24.86,26.759999999999998,51.62
8,Palmeiras,27.0,Santos,1.6017424770768036,1.4240497433052948,41.77,33.79,24.44,19.31,15.1,4.96,24.27,20.06,44.33
9,Flamengo,27.0,Fluminense,1.610749269853029,1.4662502591476483,41.38,34.45,24.16,18.82,15.06,4.92,23.740000000000002,19.98,43.72
