,clube,xG_total,xGA_total,xG_saldo
0,Flamengo,35.13376795032541,18.656669473574542,16.477098476750864
1,Palmeiras,35.48892303757409,20.058994385325505,15.429928652248584
2,Atlético-MG,31.944413580832197,19.92035992484093,12.024053655991267
3,Fluminense,28.33474499703602,22.840898606057962,5.493846390978057
4,Fortaleza,27.511410184588033,22.257317485836978,5.254092698751055
5,Internacional,30.08488739382765,25.003843413935925,5.081043979891724
6,Bragantino,30.1928299200163,27.479970529461674,2.7128593905546268
7,Coritiba,27.496200094297258,27.445902344449095,0.05029774984816271
8,São Paulo,26.11270437548424,26.18496836094347,-0.07226398545923018
9,Atlético-GO,27.700585898924245,28.00492482033591,-0.30433892141166297
10,Corinthians,21.41666664420241,22.690776881488052,-1.2741102372856403
11,Ceará,24.729225588998773,26.30577306794317,-1.5765474789443985
12,Santos,27.124645397704256,29.414853778558697,-2.290208380854441
13,América-MG,25.910408302682008,31.10140113923304,-5.1909928365510325
14,Juventude,23.61262755477365,29.324741661592206,-5.712114106818557
15,Cuiabá,20.527572230471293,26.585256459258083,-6.0576842287867905
16,Botafogo,23.293243235674225,29.645763110493295,-6.35251987481907
17,Athletico-PR,22.512654116894367,29.67461708347453,-7.1619629665801625
18,Avaí,20.585346600854656,32.28089325614092,-11.695546655286265
19,Goiás,22.461716422260665,37.29664774447778,-14.834931322217116
