,clube,P,GP,GC,SG,Fase,ranking
0,Palmeiras,28,23,5,18,13,1
1,Corinthians,22,17,11,6,8,2
2,São Paulo,18,17,12,5,7,3
3,Internacional,18,14,10,4,9,4
4,Atlético-MG,17,17,14,3,6,5
5,Athletico-PR,17,12,14,-2,11,6
6,Coritiba,15,14,14,0,5,7
7,Santos,14,14,10,4,4,8
8,Fluminense,14,13,14,-1,6,9
9,Ceará,14,16,17,-1,7,10
10,Bragantino,14,12,13,-1,6,11
11,Goiás,14,12,14,-2,6,12
12,América-MG,14,11,13,-2,5,13
13,Avaí,14,12,15,-3,4,14
14,Atlético-GO,13,10,13,-3,10,15
15,Flamengo,12,11,13,-2,6,16
16,Cuiabá,12,9,13,-4,5,17
17,Botafogo,12,12,16,-4,1,18
18,Juventude,10,10,19,-9,4,19
19,Fortaleza,8,7,12,-5,6,20
