,clube,P,GP,GC,SG,Fase,ranking
0,Palmeiras,55,39,14,25,7,1
1,Corinthians,44,29,20,9,5,2
2,Fluminense,40,27,22,5,6,3
3,Internacional,39,29,21,8,7,4
4,Atlético-MG,39,28,20,8,7,5
5,Athletico-PR,38,25,23,2,7,6
6,Flamengo,35,26,19,7,5,7
7,Bragantino,35,33,27,6,5,8
8,Ceará,33,25,24,1,7,9
9,Santos,32,23,18,5,3,10
10,Goiás,32,24,26,-2,7,11
11,São Paulo,31,28,25,3,5,12
12,Botafogo,31,21,25,-4,7,13
13,Avaí,29,21,30,-9,5,14
14,América-MG,28,14,22,-8,7,15
15,Coritiba,28,22,31,-9,6,16
16,Cuiabá,24,13,21,-8,4,17
17,Atlético-GO,23,17,30,-13,3,18
18,Juventude,23,17,33,-16,4,19
19,Fortaleza,22,16,25,-9,3,20
