,clube,media_geral,ranking_geral,media_casa,ranking_casa,media_fora,ranking_fora
0,Palmeiras,75.286875,1,75.91499999999999,2,74.65875,1
1,Atlético-MG,63.2295,2,66.82900000000001,4,59.629999999999995,2
2,Flamengo,60.69975000000001,3,82.82750000000001,1,38.572,16
3,Corinthians,60.69,4,69.7088888888889,3,51.67111111111111,3
4,Bragantino,57.24777777777778,5,63.71,7,50.785555555555554,4
5,Fluminense,56.721555555555554,6,64.462,6,48.981111111111105,7
6,Internacional,54.23975,7,59.0175,10,49.462,5
7,Athletico-PR,53.89027777777778,8,58.93555555555557,11,48.845000000000006,8
8,Coritiba,53.194750000000006,9,65.07200000000002,5,41.317499999999995,13
9,Santos,52.603375,10,62.592999999999996,8,42.613749999999996,10
10,São Paulo,51.41666666666667,11,60.36333333333333,9,42.470000000000006,11
11,Botafogo,47.334722222222226,12,48.544444444444444,13,46.12500000000001,9
12,Ceará,44.49458333333333,13,39.6225,20,49.36666666666666,6
13,Goiás,43.77827777777778,14,45.97555555555556,17,41.581,12
14,Fortaleza,43.51444444444444,15,48.14555555555555,15,38.88333333333333,15
15,América-MG,42.523222222222216,16,50.13444444444444,12,34.912,20
16,Avaí,41.775625000000005,17,48.165,14,35.386250000000004,19
17,Atlético-GO,41.73316666666667,18,44.55300000000001,19,38.91333333333333,14
18,Cuiabá,41.17725,19,46.8125,16,35.54200000000001,18
19,Juventude,40.35222222222223,20,44.99333333333334,18,35.71111111111112,17
