,rodada_id,mandante,visitante,prob_mandante_media,prob_empate_media,prob_visitante_media,prob_sg_mandante_media,prob_sg_visitante_media
0,20.0,Ceará,Palmeiras,25.069168747886447,29.38725248383526,47.507690104215136,23.43057514398478,40.5900618097485
1,20.0,Goiás,Coritiba,44.19097800567804,27.680006939341578,30.169251472944875,27.86769933673618,18.20256793998726
2,20.0,Corinthians,Botafogo,52.798906845950405,27.26832421289942,21.89552871729882,38.1016387837768,19.952522878933163
3,20.0,Flamengo,Atlético-GO,61.124261874776415,21.349069031947653,19.46750343978606,36.07996913197502,13.599029042559962
4,20.0,Internacional,Atlético-MG,39.5670715069897,27.89860448695464,34.361817884265896,27.43325512230567,22.7387111010998
5,20.0,Athletico-PR,São Paulo,43.591708585523314,27.557159082146196,30.848999213922983,25.91812148219774,18.9920088018061
6,20.0,América-MG,Avaí,49.254753273916855,27.441988189772445,25.393627722180184,33.31653917008321,22.874371126705213
7,20.0,Cuiabá,Fortaleza,37.85999636882775,33.59356370546359,30.550665175703955,39.52142929222035,34.12121375546764
8,20.0,Bragantino,Juventude,64.6140050455934,21.587784834133526,15.873121755147116,42.0770703779384,11.08998135543726
9,20.0,Santos,Fluminense,39.336899522567755,30.104399354545972,32.27320259099579,33.06020205105176,25.718689386611107
