,clube,xG_casa,xGA_casa,xG_fora,xGA_fora,xG_geral,xGA_geral,xG_diff_casa,xG_diff_fora,xG_diff_geral,Goal_casa,GoalA_casa,Goal_fora,GoalA_fora,Goal_geral,GoalA_geral,Goal_diff_casa,Goal_diff_fora,Goal_diff_geral,xG_G_comp
0,Atlético-GO,1.5800199463584672,1.2391489967438092,1.133555176266287,1.6240614343429876,1.3567875613123772,1.4316052155433985,0.340870949614658,-0.49050625807670056,-0.07481765423102127,1.0,1.0714285714285714,0.8,1.8666666666666667,0.9,1.4690476190476192,-0.0714285714285714,-1.0666666666666667,-0.5690476190476191,0.4567875613123772
1,América-MG,1.595171598465783,1.0176631864086616,1.2631754512876503,1.585879533441868,1.4291735248767168,1.3017713599252647,0.5775084120571214,-0.32270408215421775,0.12740216495145207,1.3571428571428572,0.7857142857142857,0.6,1.0666666666666667,0.9785714285714286,0.9261904761904762,0.5714285714285715,-0.4666666666666667,0.05238095238095242,0.45060209630528814
2,Juventude,1.378259858659481,1.0813852271396407,0.7093866536294955,2.070435763098923,1.0438232561444882,1.575910495119282,0.2968746315198403,-1.3610491094694275,-0.5320872389747937,0.7142857142857143,1.2142857142857142,0.6,2.2666666666666666,0.6571428571428571,1.7404761904761905,-0.4999999999999999,-1.6666666666666665,-1.0833333333333335,0.3866803990016311
3,Cuiabá,1.2060975112618437,1.0318297823531013,0.8350963365699045,1.3607190635854962,1.020596923915874,1.1962744229692988,0.17426772890874243,-0.5256227270155918,-0.17567749905342467,0.7857142857142857,0.6428571428571429,0.6666666666666666,1.4,0.7261904761904762,1.0214285714285714,0.1428571428571428,-0.7333333333333333,-0.2952380952380952,0.2944064477253979
4,Fortaleza,1.511629264830194,0.9357318318563078,1.0083718959191303,1.36794852294465,1.2600005803746623,1.151840177400479,0.5758974329738863,-0.3595766270255196,0.10816040297418339,0.8571428571428571,0.7857142857142857,1.1333333333333333,1.4666666666666666,0.9952380952380953,1.1261904761904762,0.0714285714285714,-0.33333333333333326,-0.13095238095238093,0.2647624851365671
5,Atlético-MG,1.5837912780352839,0.7806577909724461,1.3273149145958691,0.9978212021963838,1.4555530963155765,0.889239496584415,0.8031334870628377,0.32949371239948533,0.5663135997311615,1.3333333333333333,1.0666666666666667,1.0714285714285714,1.0714285714285714,1.2023809523809523,1.069047619047619,0.2666666666666666,0.0,0.1333333333333333,0.25317214393462417
6,Ceará,1.1713131230356213,1.186522185453274,1.1204902435583681,1.448048228588309,1.1459016832969948,1.3172852070207914,-0.01520906241765263,-0.3275579850299408,-0.17138352372379662,0.9333333333333333,1.2,0.8571428571428571,0.9285714285714286,0.8952380952380952,1.0642857142857143,-0.2666666666666666,-0.07142857142857151,-0.1690476190476191,0.25066358805889966
7,Coritiba,1.259160148758441,1.1115739122168755,1.204333871680633,1.7226331184360733,1.2317470102195371,1.4171035153264744,0.14758623654156544,-0.5182992467554401,-0.18535650510693724,1.2666666666666666,0.8666666666666667,0.7692307692307693,2.3076923076923075,1.0179487179487179,1.587179487179487,0.3999999999999999,-1.5384615384615383,-0.5692307692307692,0.21379829227081926
8,Santos,1.4536702252120628,1.4435239112673965,1.0691217729436047,1.3617487590131998,1.2613959990778336,1.4026363351402982,0.010146313944666252,-0.29262698606959514,-0.14124033606246456,1.4285714285714286,0.8571428571428571,0.6666666666666666,0.8666666666666667,1.0476190476190477,0.861904761904762,0.5714285714285715,-0.20000000000000007,0.18571428571428572,0.21377695145878595
9,Botafogo,1.0951635180745494,1.2176274668417786,1.2105166059063166,1.432711282174694,1.152840061990433,1.3251693745082362,-0.12246394876722921,-0.2221946762683773,-0.17232931251780315,0.8666666666666667,1.0,1.0714285714285714,1.3571428571428572,0.969047619047619,1.1785714285714286,-0.1333333333333333,-0.2857142857142858,-0.20952380952380956,0.18379244294281405
10,Bragantino,1.554844688026095,0.9745461569829265,1.1500120378873666,1.58960278030857,1.3524283629567309,1.2820744686457481,0.5802985310431686,-0.43959074242120333,0.07035389431098271,1.5714285714285714,0.9285714285714286,1.0,1.6,1.2857142857142856,1.2642857142857142,0.6428571428571428,-0.6000000000000001,0.021428571428571352,0.06671407724244527
11,Avaí,1.2536196502512895,1.245942704450861,0.9116217557565467,1.7722689247838423,1.082620703003918,1.5091058146173517,0.007676945800428436,-0.8606471690272957,-0.4264851116134336,1.5333333333333334,1.3333333333333333,0.5,2.0,1.0166666666666666,1.6666666666666665,0.20000000000000018,-1.5,-0.6499999999999999,0.0659540363372515
12,Goiás,1.076850223902222,1.6415009040285493,0.9349960213101981,1.7858227950690375,1.00592312260621,1.7136618495487934,-0.5646506801263274,-0.8508267737588394,-0.7077387269425834,1.1333333333333333,1.0666666666666667,0.9285714285714286,1.4285714285714286,1.0309523809523808,1.2476190476190476,0.06666666666666665,-0.5,-0.21666666666666679,-0.02502925834617087
13,Corinthians,1.2576634301103675,1.0078635337294226,1.0226515148863224,1.2081765403651359,1.140157472498345,1.1080200370472792,0.2497998963809449,-0.18552502547881344,0.03213743545106573,1.3333333333333333,0.4,1.0,1.6428571428571428,1.1666666666666665,1.0214285714285714,0.9333333333333332,-0.6428571428571428,0.14523809523809517,-0.026509194168321537
