,mandante,visitante,prob_vitoria_mandante,prob_empate,prob_vitoria_visitante,prob_sg_mandante,prob_sg_visitante
0,Atlético-MG,América-MG,64.82155424933315,22.033484183630904,13.144630648390393,51.2848596142236,16.347517427145757
1,Athletico-PR,Ceará,14.605966311034638,33.2082533735908,52.18577775770328,33.371849004069155,64.68715826990079
2,Flamengo,Botafogo,49.316818770669705,20.397926866260217,30.283060409287867,18.079788880683182,11.050572801835898
3,Palmeiras,Fluminense,43.18161103883462,28.789603576310768,28.02877589395527,38.94141148435206,28.80278653024128
4,Atlético-GO,Goiás,69.39348262003901,18.016630870189726,12.587199090343857,42.47835728183485,10.267096533324196
5,Bragantino,Corinthians,54.18373166057502,22.34133043756936,23.474417646225813,30.76821744916422,14.970053591282406
6,Santos,Cuiabá,40.386744035878614,30.723685283392545,28.88956771611017,41.34560666838531,33.20111774977425
7,Juventude,Internacional,39.91717850817876,33.6388902170903,26.44393047566028,48.16102872904873,37.812243123378174
8,Fortaleza,São Paulo,43.25732711763269,28.374456366162732,28.36820475300258,37.8365284565413,28.045459203854882
9,Avaí,Coritiba,7.295704494254916,8.807520502190847,83.47603858543917,1.4708536725072983,24.14503615320877
