,clube,ranking_clube,fase
0,Botafogo,4,73.33
1,Corinthians,1,66.67
2,Santos,5,60.0
3,América-MG,8,60.0
4,Internacional,11,60.0
5,Palmeiras,9,60.0
6,Goiás,13,53.33
7,São Paulo,3,53.33
8,Avaí,7,46.67
9,Fluminense,12,46.67
10,Coritiba,6,46.67
11,Atlético-MG,2,40.0
12,Athletico-PR,15,40.0
13,Flamengo,16,33.33
14,Juventude,17,33.33
15,Bragantino,10,33.33
16,Ceará,18,26.67
17,Cuiabá,14,26.67
18,Atlético-GO,19,13.33
19,Fortaleza,20,6.67
