,clube,ranking_clube,fase
0,Internacional,2,86.67
1,Goiás,9,73.33
2,Palmeiras,1,60.0
3,Fortaleza,15,60.0
4,Flamengo,3,60.0
5,América-MG,8,60.0
6,Atlético-MG,7,53.33
7,Fluminense,4,46.67
8,Athletico-PR,6,40.0
9,Botafogo,12,40.0
10,Coritiba,16,40.0
11,Ceará,14,40.0
12,Cuiabá,17,40.0
13,São Paulo,13,33.33
14,Corinthians,5,33.33
15,Santos,10,26.67
16,Bragantino,11,20.0
17,Avaí,18,20.0
18,Juventude,20,13.33
19,Atlético-GO,19,13.33
