,clube,xG_casa,xGA_casa,xG_fora,xGA_fora
1,Flamengo,2.05768553773071,0.6914947693034847,1.3534768305106681,1.0412809201712252
2,Botafogo,1.136121346751121,1.1917632853336568,1.2279865904524192,1.5724270043609299
3,Corinthians,1.3718436413267672,1.1059056886310898,0.9673112800231631,1.261679037401718
4,Fluminense,1.7409876555322448,0.9652436705223647,0.9482303592825018,1.2418514075100244
5,Palmeiras,1.9503253180108813,0.8971001728740751,1.4244573560477387,1.125755790277581
6,São Paulo,1.5103258790644531,1.0559364035933363,1.3124707608750288,1.3154078639713942
7,Santos,1.5392315580156382,1.5023201017061834,1.0136995516739413,1.4487261401977714
8,Bragantino,1.631310268912948,0.9815217437005439,1.1301673216162702,1.579569798545321
9,Atlético-MG,1.6462579207015509,0.697570096803427,1.4158173467452184,1.1065571811778516
10,Internacional,1.5543861376148937,1.0704422753157767,1.3476625072650137,1.2737132406413958
11,Juventude,1.595821567464395,1.1639929819608559,0.684562921691396,1.895700983240123
12,Goiás,1.1103229772581567,1.6446674088410669,0.8842622312147579,1.9894083258384518
13,Athletico-PR,1.3013952562489017,1.4067116386819831,0.8551479252074867,1.547637898120273
14,Coritiba,1.2748316064924998,1.1165717191291031,1.2550387140645383,1.8572793596115902
15,Avaí,1.2615984889338838,1.2303314149856532,0.9173527536417374,1.9257459494835079
16,América-MG,1.6677515685114237,1.0255960982848353,1.2270001504982924,1.7002473592175766
17,Ceará,1.175264270236663,1.1535240257278412,1.1190342484958735,1.4490849915618416
18,Fortaleza,1.572699706940733,0.9359853288594394,1.0500393382072748,1.3617679969396235
19,Atlético-GO,1.5762099136334806,1.1692469219525212,1.1284308433191856,1.6577555091916443
20,Cuiabá,1.2497838214353099,1.0065760890665496,0.8534651939669639,1.4569552552066976
