,clube,P
0,Palmeiras,69.6247895927808
1,Athletico-PR,62.85514163643166
2,Corinthians,61.9008829330711
3,Atlético-MG,60.40467726012419
4,Flamengo,58.16676165881538
5,Internacional,57.95281104514179
6,São Paulo,57.04466517310455
7,Fluminense,55.89808275998964
8,Santos,53.180668917751106
9,Botafogo,51.06279413189485
10,Bragantino,49.48015572802924
11,Ceará,46.50057892311919
12,Coritiba,44.685835845436195
13,Goiás,44.532701166826534
14,Atlético-GO,42.235409220251775
15,Fortaleza,40.827863487543915
16,América-MG,39.162261593359304
17,Cuiabá,39.15920842091393
18,Avaí,37.16704727759516
19,Juventude,33.78614165667378
