,mandante,rodada_id,visitante,xG_mandante,xG_visitante,percent_mandante,percent_visitante,percent_empate,percent_sg_mandante,percent_sg_visitante,percent_sg_empate,sg_mandante_total,sg_visitante_total,sg_total
0,Botafogo,35.0,Cuiabá,1.2546660572073982,0.9681645924952063,42.85,28.47,28.68,27.26,17.66,10.75,38.010000000000005,28.41,66.42
1,Ceará,35.0,Fluminense,1.1900074521366073,1.0639776613799043,39.0,31.9,29.1,24.29,19.18,10.67,34.96,29.85,64.81
2,Athletico-PR,35.0,Goiás,1.6274653109102333,1.1178585234651077,49.2,25.62,25.17,26.31,12.75,6.54,32.85,19.29,52.14
3,Avaí,35.0,Bragantino,1.3876188639988505,1.1898788311024788,41.12,32.95,25.93,22.64,17.46,7.3,29.94,24.76,54.7
4,São Paulo,35.0,Atlético-MG,1.2831115191942186,1.4496077622332315,33.88,40.84,25.28,17.07,21.18,6.77,23.84,27.95,51.79
5,Atlético-GO,35.0,Santos,1.4918122683126742,1.2951921697412254,41.77,33.93,24.3,21.02,16.99,5.98,27.0,22.97,49.97
6,América-MG,35.0,Internacional,1.3617911834049758,1.460099525874009,34.93,39.63,25.44,17.08,19.79,6.0,23.08,25.79,48.87
7,Juventude,35.0,Coritiba,1.6179381120153993,1.365634852880902,43.09,33.0,23.91,20.41,15.05,4.88,25.29,19.93,45.22
8,Flamengo,35.0,Corinthians,1.6173498811918074,1.4947687733943917,40.49,35.51,24.0,18.07,15.25,4.4,22.47,19.65,42.12
9,Palmeiras,35.0,Fortaleza,1.712506074344844,1.5349179780852973,41.85,34.65,23.49,17.05,13.91,3.89,20.94,17.8,38.74
