,scout,atleta_id,rodada_id,clube_id,posicao_id,status_id,pontos_num,preco_num,variacao_num,media_num,jogos_num,minimo_para_valorizar,gato_mestre,slug,apelido,apelido_abreviado,nome,foto,status
0,"{'A': 2, 'CA': 4, 'DS': 8, 'FC': 30, 'FD': 6, 'FF': 28, 'FS': 42, 'FT': 3, 'G': 7, 'I': 14, 'PI': 113}",39148,23,282,5,7,2.4,18.58,0.46,5.76,19,,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None}",hulk,Hulk,Hulk,Givanildo Vieira de Souza,https://s.glbimg.com/es/sde/f/2022/07/15/ee2237ff2b55e16e4263c51c7626431e_FORMATO.png,Provável
1,"{'CA': 1, 'DS': 12, 'FC': 19, 'FD': 10, 'FF': 21, 'FS': 19, 'G': 7, 'I': 14, 'PI': 63}",91607,23,275,5,7,1.4,10.81,-0.42,5.22,18,,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None}",rony,Rony,Rony,Ronielson da Silva Barbosa,https://s.glbimg.com/es/sde/f/2022/02/21/a09a417ce482ea35a6c54e89437850d4_FORMATO.png,Provável
2,"{'A': 1, 'CA': 3, 'DS': 28, 'FC': 11, 'FD': 6, 'FF': 3, 'FS': 15, 'PC': 1, 'PI': 65, 'SG': 8}",95638,23,356,3,7,0.0,8.01,0.0,4.11,20,,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None}",marcelo-benevenuto,Marcelo Benevenuto,M. Benevenuto,Marcelo da Conceição Benevenuto Malaquias,https://s.glbimg.com/es/sde/f/2022/05/12/5021e3ea5f8c3db816a9537e53808b5a_FORMATO.png,Provável
3,"{'A': 2, 'CA': 3, 'DS': 8, 'FC': 17, 'FD': 11, 'FF': 20, 'FS': 8, 'FT': 1, 'G': 7, 'I': 4, 'PI': 123, 'PP': 1}",102878,23,293,4,7,1.8,9.45,0.12,4.85,18,,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None}",terans,Terans,Terans,Miguel David Terans Pérez  ,https://s.glbimg.com/es/sde/f/2021/06/22/9afbb795a2e1b8ea2d0c84725bf26e2b_FORMATO.png,Provável
4,{},110506,23,275,6,7,4.24,13.51,0.09,6.19,22,,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None}",abel-ferreira,Abel Ferreira,A. Ferreira,Abel Fernando Moreira Ferreira,https://s.glbimg.com/es/sde/f/2021/04/27/574e87d52be9d06fd03fa69fefb60255_FORMATO.png,Provável
5,"{'CA': 5, 'DS': 16, 'FC': 24, 'FD': 1, 'FF': 4, 'FS': 5, 'PI': 25, 'SG': 8}",95794,23,282,3,7,3.3,8.86,-0.27,3.96,13,,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None}",nathan-silva,Nathan Silva,N. Silva,Nathanael Ananias da Silva,https://s.glbimg.com/es/sde/f/2022/07/15/d0236fbab3979985ac474c82ddc56fe1_FORMATO.png,Provável
6,"{'A': 7, 'DS': 30, 'FC': 7, 'FD': 7, 'FF': 16, 'FS': 34, 'FT': 2, 'G': 2, 'I': 2, 'PI': 155, 'PS': 1}",87863,23,262,4,6,1.8,17.35,-0.34,6.73,17,,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None}",arrascaeta,Arrascaeta,Arrascaeta,Giorgian Daniel de Arrascaeta Benedetti,https://storage.googleapis.com/bkt-gglobo-sde-hdg-prd-sdeadmin_prod/media/person_role/2022/04/25/cc92618f5866aefc097fc6f6ad12eef6_220x220.png,Nulo
7,"{'CA': 3, 'DS': 20, 'FC': 13, 'FD': 2, 'FF': 4, 'FS': 11, 'PI': 53, 'SG': 3}",98484,23,263,3,6,0.0,4.04,0.0,2.53,15,,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None}",kanu,Kanu,Kanu,Victor Hugo Soares dos Santos,https://s.glbimg.com/es/sde/f/2022/02/21/b1d2b6ae7d7c80be4768237f4820792b_FORMATO.png,Nulo
8,"{'A': 1, 'CA': 6, 'DS': 5, 'FC': 8, 'FD': 11, 'FF': 13, 'FS': 13, 'FT': 1, 'G': 6, 'I': 13, 'PI': 66, 'PP': 1}",83257,23,262,5,6,-0.2,9.84,0.0,3.58,20,,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None}",gabriel,Gabriel,Gabriel,Gabriel Barbosa Almeida,https://s.glbimg.com/es/sde/f/2022/04/25/8ce4db9e01696fbbc278bb084f675352_FORMATO.png,Nulo
9,"{'CA': 4, 'DS': 22, 'FC': 12, 'FD': 1, 'FF': 3, 'FS': 6, 'G': 1, 'I': 1, 'PI': 88, 'SG': 6}",97867,23,280,3,7,0.4,10.08,-0.17,3.63,15,,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None}",leo-ortiz,Léo Ortiz,L. Ortiz,Leonardo Rech Ortiz,https://s.glbimg.com/es/sde/f/2022/05/05/460445523b5ae74d45009ede8f2a5e89_FORMATO.png,Provável
