,clube,P,GP,GC,SG,Fase,ranking
0,Palmeiras,82,62,19,43,13,1
1,Corinthians,65,43,30,13,10,2
2,Internacional,63,43,27,16,10,3
3,Fluminense,62,49,33,16,13,4
4,Atlético-MG,54,38,28,10,8,5
5,Botafogo,53,37,35,2,10,6
6,Flamengo,52,44,34,10,7,7
7,Athletico-PR,50,39,42,-3,4,8
8,São Paulo,49,43,35,8,7,9
9,Bragantino,46,46,52,-6,6,10
10,Santos,45,38,33,5,4,11
11,Fortaleza,44,36,36,0,8,12
12,América-MG,44,31,36,-5,7,13
13,Coritiba,43,31,45,-14,8,14
14,Goiás,42,35,43,-8,7,15
15,Ceará,36,29,38,-9,0,16
16,Cuiabá,36,25,37,-12,7,17
17,Atlético-GO,36,32,46,-14,5,18
18,Avaí,36,28,50,-22,4,19
19,Juventude,27,25,54,-29,1,20
