,clube,xGA_geral
0,Atlético-MG,1.563282142724788
1,Fortaleza,1.7036845598295571
2,Flamengo,1.9268526400168953
3,Coritiba,2.056026795670705
4,Palmeiras,2.14271537282674
5,São Paulo,2.1996558269620006
6,Internacional,2.2349798021798843
7,Athletico-PR,2.2799648605891747
8,Avaí,2.2922082661186836
9,Corinthians,2.477504866073697
10,Bragantino,2.5788536367961137
11,América-MG,2.5869424737332927
12,Fluminense,2.7145768897411986
13,Botafogo,2.7183131090992645
14,Atlético-GO,2.7201813469953153
15,Santos,2.9539695410664004
16,Juventude,3.0209060598137003
17,Cuiabá,3.0313003589573233
18,Ceará,3.2839532773313915
19,Goiás,3.7766815261498996
