,clube,xGA_geral
0,Atlético-MG,0.9353377254870134
1,Flamengo,0.9408123121529468
2,Palmeiras,1.0262279889897181
3,Fluminense,1.0949466116460693
4,Internacional,1.1233542734259654
5,São Paulo,1.1999528165257474
6,Corinthians,1.2013896131946722
7,Fortaleza,1.2127017052579978
8,Cuiabá,1.2540092308589847
9,Bragantino,1.264286727012403
10,Ceará,1.3029523045105615
11,Botafogo,1.3818486184004892
12,Coritiba,1.4097639600774992
13,América-MG,1.4139695847487173
14,Atlético-GO,1.438878651667327
15,Santos,1.4553939346141287
16,Athletico-PR,1.4967692138193023
17,Avaí,1.558822055949718
18,Juventude,1.5642848581975872
19,Goiás,1.732633322588745
