,mandante,visitante,odds_mandante,odds_empate,odds_visitante,odds_mandante_percent,odds_visitante_percent,odds_empate_percent
0,Athletico-PR,Internacional,2.37,3.24,3.12,42.19409282700421,32.05128205128205,30.864197530864196
1,Avaí,Santos,2.9,3.13,2.54,34.48275862068966,39.370078740157474,31.948881789137378
4,Juventude,Goiás,2.13,3.25,3.56,46.948356807511736,28.08988764044944,30.76923076923077
5,São Paulo,Fluminense,2.07,3.21,3.88,48.309178743961354,25.773195876288664,31.15264797507788
6,Atlético-GO,Fortaleza,2.31,3.19,3.23,43.290043290043286,30.959752321981426,31.347962382445143
7,Botafogo,Atlético-MG,4.08,3.27,1.98,24.509803921568626,50.505050505050505,30.58103975535168
8,América-MG,Bragantino,2.51,3.15,2.93,39.8406374501992,34.129692832764505,31.746031746031743
9,Palmeiras,Cuiabá,1.39,4.58,8.37,71.94244604316548,11.947431302270013,21.83406113537118
10,Ceará,Avaí,2.41,3.1,2.98,41.49377593360995,33.557046979865774,32.25806451612903
11,Corinthians,Coritiba,1.25,5.07,11.0,80.0,9.090909090909092,19.72386587771203
12,Santos,Botafogo,2.08,3.22,3.5,48.07692307692307,28.57142857142857,31.05590062111801
