,clube,P
0,Palmeiras,70.49117617351904
1,Corinthians,64.4449881910453
2,Athletico-PR,59.56593197024557
3,Internacional,58.5338324509982
4,Atlético-MG,57.46649616982762
5,São Paulo,55.175785222101844
6,Fluminense,55.08138610752237
7,Santos,55.0254477024001
8,Flamengo,54.83862882045372
9,Bragantino,51.267741332688814
10,Botafogo,48.05910238258154
11,Goiás,47.04738303044407
12,Ceará,45.558037324023175
13,Atlético-GO,42.57728946369019
14,Coritiba,42.53647505971651
15,Fortaleza,41.19555104726595
16,Cuiabá,39.29899683001852
17,Avaí,37.58777007873586
18,América-MG,36.76920885852432
19,Juventude,34.85088458802856
