,clube,P
0,Palmeiras,78.60111605624817
1,Corinthians,63.68753340948651
2,Internacional,61.63783034369854
3,Fluminense,57.48753013123262
4,Athletico-PR,55.35592648448449
5,Flamengo,54.65699917283328
6,Atlético-MG,53.196863253619576
7,São Paulo,51.0145394379349
8,Santos,50.12129329682857
9,Botafogo,49.68834941628361
10,Bragantino,48.82257540121317
11,Fortaleza,44.234228862341354
12,Ceará,43.03868909521756
13,Goiás,42.11752743698924
14,América-MG,42.08106538376973
15,Coritiba,42.013419500452144
16,Atlético-GO,37.679724701616976
17,Avaí,36.79147277095901
18,Cuiabá,35.10454147284612
19,Juventude,31.900344475440086
